Opponent,Resultado,Tm,Opp,W,L,Team,Is_Playoffs,Previous_Team_Pace,Previous_Team_eFG%,Previous_Team_TOV%,Previous_Team_ORB%,Previous_Team_FT/FGA,Previous_Team_ORtg,Previous_Opponent_Pace,Previous_Opponent_eFG%,Previous_Opponent_TOV%,Previous_Opponent_ORB%,Previous_Opponent_FT/FGA,Previous_Opponent_ORtg,Previous_Streak,Previous_Tm,Previous_Opp,Score_Starters_Team,Score_Starters_Opp,Score_Bench_Team,Score_Bench_Opp
14,W,111,104,0,0,17,False,97.45,0.49,14.34,27.29,0.15,103.44,97.45,0.46,11.02,28.85,0.16,104.89,1.0,112.7,126.2,13.94,11.11,2.02,6.21
18,W,96,87,1,0,17,False,101.13,0.48,18.2,31.53,0.19,100.79,101.13,0.48,12.34,21.74,0.18,102.73,2.0,110.9,113.5,13.06,10.98,3.5,3.75
9,L,102,130,2,2,17,False,102.45,0.47,18.64,29.32,0.16,95.98,102.45,0.53,14.22,22.97,0.14,107.09,-1.0,111.9,112.3,11.92,12.56,5.46,3.81
19,W,110,106,2,1,17,False,100.78,0.52,15.25,22.61,0.13,103.63,100.78,0.58,12.56,21.59,0.2,118.67,-2.0,110.9,108.9,13.1,12.82,3.86,3.59
8,W,125,116,3,1,17,False,100.35,0.49,14.8,23.07,0.11,99.43,100.35,0.57,12.62,18.96,0.18,114.97,1.0,109.2,96.6,9.38,9.5,5.06,5.42
0,L,105,123,4,3,17,False,100.82,0.49,15.8,24.65,0.13,100.26,100.82,0.56,12.81,20.76,0.18,113.68,3.0,107.9,108.1,16.74,14.87,5.17,5.36
7,L,116,134,4,4,17,False,100.82,0.49,15.8,24.65,0.13,100.26,100.82,0.56,12.81,20.76,0.18,113.68,1.0,120.5,120.2,14.53,9.0,4.75,3.46
17,L,101,122,4,5,17,False,100.82,0.49,15.8,24.65,0.13,100.26,100.82,0.56,12.81,20.76,0.18,113.68,-1.0,109.7,115.8,10.71,14.18,5.84,5.07
10,L,101,104,4,6,17,False,100.82,0.49,15.8,24.65,0.13,100.26,100.82,0.56,12.81,20.76,0.18,113.68,1.0,123.5,106.5,12.05,14.96,6.26,5.0
6,L,124,136,4,7,17,False,100.82,0.49,15.8,24.65,0.13,100.26,100.82,0.56,12.81,20.76,0.18,113.68,1.0,115.4,119.9,12.05,14.43,6.54,4.53
6,W,131,110,4,6,17,False,100.82,0.49,15.8,24.65,0.13,100.26,100.82,0.56,12.81,20.76,0.18,113.68,-5.0,113.2,115.7,13.88,14.43,5.17,4.86
7,W,115,110,5,6,17,False,100.82,0.49,15.8,24.65,0.13,100.26,100.82,0.56,12.81,20.76,0.18,113.68,-2.0,111.9,105.8,13.88,9.0,5.58,4.07
17,L,120,121,6,8,17,False,100.82,0.49,15.8,24.65,0.13,100.26,100.82,0.56,12.81,20.76,0.18,113.68,-3.0,119.2,119.7,11.44,12.9,6.79,5.59
24,W,129,93,6,7,17,False,100.82,0.49,15.8,24.65,0.13,100.26,100.82,0.56,12.81,20.76,0.18,113.68,-1.0,124.6,103.1,13.88,11.66,4.92,4.31
24,W,117,112,7,7,17,False,100.82,0.49,15.8,24.65,0.13,100.26,100.82,0.56,12.81,20.76,0.18,113.68,1.0,123.0,110.4,13.88,11.17,5.23,4.76
12,W,116,106,8,7,17,False,100.82,0.49,15.8,24.65,0.13,100.26,100.82,0.56,12.81,20.76,0.18,113.68,2.0,106.1,108.4,13.88,13.45,4.78,5.92
27,L,100,105,9,9,17,False,100.82,0.49,15.8,24.65,0.13,100.26,100.82,0.56,12.81,20.76,0.18,113.68,-2.0,112.8,109.6,11.44,4.96,6.39,7.29
