Opponent,Resultado,Tm,Opp,W,L,Team,Is_Playoffs,Previous_Team_Pace,Previous_Team_eFG%,Previous_Team_TOV%,Previous_Team_ORB%,Previous_Team_FT/FGA,Previous_Team_ORtg,Previous_Opponent_Pace,Previous_Opponent_eFG%,Previous_Opponent_TOV%,Previous_Opponent_ORB%,Previous_Opponent_FT/FGA,Previous_Opponent_ORtg,Previous_Streak,Previous_Tm,Previous_Opp,Score_Starters_Team,Score_Starters_Opp,Score_Bench_Team,Score_Bench_Opp
14,W,111,104,0,0,17,False,99.23,0.49,12.56,26.63,0.18,107.56,99.23,0.54,11.92,19.57,0.21,111.77,1.0,111.6,125.4,13.92,10.14,3.46,5.76
18,W,96,87,1,0,17,False,99.67,0.48,13.45,26.33,0.15,103.5,99.67,0.51,12.1,21.41,0.2,107.8,2.0,109.9,112.6,14.01,10.34,3.52,4.37
9,L,102,130,2,2,17,False,98.98,0.49,15.08,27.04,0.15,102.37,98.98,0.5,11.8,25.36,0.17,107.31,-1.0,103.0,110.8,12.1,12.11,4.31,3.58
19,W,110,106,2,1,17,False,100.78,0.49,16.8,28.7,0.17,101.06,100.78,0.51,12.48,21.7,0.18,106.94,-2.0,111.4,111.4,11.56,13.41,3.71,3.88
8,W,125,116,3,1,17,False,101.28,0.48,16.75,27.27,0.15,99.01,101.28,0.54,13.3,22.21,0.16,109.51,1.0,109.3,98.1,9.74,9.17,5.38,5.06
0,L,105,123,4,3,17,False,100.33,0.51,14.94,24.02,0.14,102.91,100.33,0.56,12.4,21.48,0.19,114.89,3.0,110.5,109.9,15.37,13.21,4.28,5.1
7,L,116,134,4,4,17,False,100.08,0.49,14.77,24.75,0.13,100.77,100.08,0.55,12.42,20.36,0.18,112.09,1.0,113.4,113.8,11.97,13.52,3.45,3.22
17,L,101,122,4,5,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-1.0,104.5,107.1,10.44,12.72,5.23,4.06
10,L,101,104,4,6,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,1.0,118.7,105.0,13.05,13.56,5.24,5.01
6,L,124,136,4,7,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,1.0,111.0,117.8,12.33,13.68,5.53,4.13
6,W,131,110,4,6,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-5.0,112.8,111.8,11.61,13.68,6.29,4.31
7,W,115,110,5,6,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-2.0,115.6,113.0,11.61,13.52,7.02,4.08
17,L,120,121,6,8,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-3.0,109.4,111.6,10.6,12.97,6.75,4.95
24,W,129,93,6,7,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-1.0,114.3,109.0,11.61,13.23,5.35,3.45
24,W,117,112,7,7,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,1.0,116.5,107.8,11.61,12.49,4.99,4.01
12,W,116,106,8,7,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,2.0,113.5,102.4,11.61,12.37,5.8,5.24
27,L,100,105,9,9,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-2.0,108.0,111.3,10.6,5.0,6.44,5.96
27,L,112,114,9,10,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-1.0,111.5,116.0,11.61,5.94,5.6,4.37
21,W,124,114,9,9,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-2.0,107.4,117.1,13.56,9.83,6.07,6.82
25,W,121,106,10,9,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,2.0,117.5,101.8,13.41,8.38,7.26,5.38
3,L,118,124,11,11,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,3.0,118.0,117.1,11.61,8.96,5.02,3.78
24,W,127,117,11,10,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,2.0,121.8,106.9,13.41,13.23,6.79,3.63
13,L,89,133,12,12,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-1.0,117.9,110.3,13.41,12.79,6.86,5.59
17,W,121,107,12,11,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-1.0,110.3,116.4,13.41,8.26,6.89,4.75
28,W,142,122,13,11,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-7.0,114.8,106.3,11.92,11.56,6.23,4.04
4,W,112,107,14,11,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,3.0,115.2,120.6,13.41,12.3,7.49,2.26
25,W,146,110,15,11,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,2.0,116.0,104.9,13.41,10.81,7.7,6.42
14,L,113,115,16,13,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,1.0,112.9,125.8,13.41,14.88,7.58,7.52
5,W,123,104,16,12,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-1.0,101.5,103.9,13.04,6.29,7.85,3.37
10,L,104,106,17,14,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-4.0,117.6,104.7,13.41,13.56,7.64,3.99
14,L,115,116,17,15,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-1.0,113.7,122.8,13.41,17.31,7.02,6.77
27,W,112,105,17,14,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-2.0,113.4,112.8,13.41,9.35,6.25,4.23
13,W,129,109,18,14,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-1.0,114.9,116.6,13.41,12.55,5.85,5.61
2,W,112,85,19,14,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-1.0,112.5,116.4,13.41,12.78,5.85,6.01
17,W,117,106,20,14,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,1.0,114.9,118.0,13.41,12.97,5.85,4.05
12,L,95,111,21,16,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,3.0,111.3,102.5,13.41,12.37,7.22,5.16
24,W,133,100,21,15,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,1.0,120.6,110.9,13.04,12.25,5.65,4.65
9,W,141,105,22,15,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-1.0,108.9,106.8,13.41,11.13,6.44,5.05
7,L,113,125,23,17,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,2.0,115.9,115.2,13.41,14.28,6.76,3.93
6,W,118,108,23,16,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,1.0,115.4,118.6,9.42,9.75,4.73,4.26
6,L,120,125,24,18,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,1.0,115.2,116.2,13.41,9.48,7.74,4.24
4,W,132,112,24,17,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,3.0,115.1,117.9,13.41,12.55,7.74,3.95
22,L,109,123,25,19,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-3.0,112.6,113.6,13.41,14.72,7.74,5.99
27,W,153,124,25,18,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,1.0,115.9,112.2,13.41,8.47,7.74,5.22
19,L,83,107,26,20,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,1.0,110.7,111.9,13.04,15.28,6.64,3.77
16,L,117,141,26,21,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-8.0,115.1,124.7,13.41,12.4,6.02,3.32
1,L,112,118,26,22,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-1.0,99.1,109.6,13.41,12.52,6.47,3.29
10,W,110,99,26,21,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-1.0,118.7,107.2,12.95,13.56,5.02,3.37
25,W,114,113,27,21,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,4.0,121.4,104.2,14.44,9.28,6.64,5.34
26,W,138,100,28,21,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-2.0,112.6,102.1,13.41,10.96,7.74,4.36
12,W,117,106,29,21,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-1.0,111.0,107.1,13.41,12.37,7.02,4.99
13,L,122,139,30,23,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,2.0,114.1,119.7,13.41,16.73,7.02,2.86
23,W,93,84,30,22,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,5.0,115.5,102.0,13.04,6.5,6.1,1.91
14,W,96,87,31,22,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-2.0,113.9,116.7,13.41,10.07,6.82,5.55
28,W,133,126,32,22,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,2.0,116.8,107.8,13.41,8.64,6.82,3.98
10,W,127,105,33,22,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,1.0,114.1,107.5,13.31,13.56,6.1,3.64
15,L,95,106,34,24,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-4.0,97.5,113.6,13.31,12.94,6.1,5.21
3,L,106,114,34,25,17,False,100.27,0.49,15.31,26.03,0.15,101.56,100.27,0.54,12.47,21.7,0.18,110.66,-1.0,118.3,116.9,12.72,8.89,4.51,2.73
