Opponent,Resultado,Tm,Opp,W,L,Team,Is_Playoffs,Previous_Team_Pace,Previous_Team_eFG%,Previous_Team_TOV%,Previous_Team_ORB%,Previous_Team_FT/FGA,Previous_Team_ORtg,Previous_Opponent_Pace,Previous_Opponent_eFG%,Previous_Opponent_TOV%,Previous_Opponent_ORB%,Previous_Opponent_FT/FGA,Previous_Opponent_ORtg,Previous_Streak,Previous_Tm,Previous_Opp,Score_Starters_Team,Score_Starters_Opp,Score_Bench_Team,Score_Bench_Opp
14,L,113,115,16,13,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,1.0,112.3,119.4,11.06,12.57,6.55,6.44
5,W,123,104,16,12,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-1.0,94.9,100.5,10.3,8.66,7.09,4.22
10,L,104,106,17,14,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-4.0,112.6,111.3,11.06,11.29,7.47,4.26
14,L,115,116,17,15,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-1.0,128.5,122.1,11.06,14.82,6.49,5.86
27,W,112,105,17,14,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-2.0,119.5,123.0,11.06,8.64,5.79,4.26
13,W,129,109,18,14,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-1.0,102.8,121.8,11.06,13.25,5.74,3.68
2,W,112,85,19,14,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-1.0,111.9,115.7,11.06,10.56,5.74,6.29
17,W,117,106,20,14,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,1.0,107.9,120.6,11.06,11.63,5.74,3.48
12,L,95,111,21,16,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,3.0,127.4,110.9,11.06,13.98,6.15,6.6
24,W,133,100,21,15,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,1.0,125.4,100.1,10.3,13.42,5.29,4.91
9,W,141,105,22,15,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-1.0,102.1,113.0,11.06,10.19,5.58,4.88
7,L,113,125,23,17,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,2.0,110.1,102.7,11.06,13.84,5.32,6.2
