Opponent,Resultado,Tm,Opp,W,L,Team,Is_Playoffs,Previous_Team_Pace,Previous_Team_eFG%,Previous_Team_TOV%,Previous_Team_ORB%,Previous_Team_FT/FGA,Previous_Team_ORtg,Previous_Opponent_Pace,Previous_Opponent_eFG%,Previous_Opponent_TOV%,Previous_Opponent_ORB%,Previous_Opponent_FT/FGA,Previous_Opponent_ORtg,Previous_Streak,Previous_Tm,Previous_Opp,Score_Starters_Team,Score_Starters_Opp,Score_Bench_Team,Score_Bench_Opp
14,W,111,104,0,0,17,False,98.53,0.49,15.18,27.53,0.15,102.46,98.53,0.48,11.56,26.96,0.17,105.92,1.0,113.0,124.8,14.04,10.45,2.35,6.26
18,W,96,87,1,0,17,False,101.06,0.49,17.64,29.84,0.18,100.56,101.06,0.5,12.52,21.86,0.18,105.43,2.0,109.9,112.6,13.64,10.89,3.58,3.83
9,L,102,130,2,2,17,False,101.82,0.48,17.7,27.93,0.15,97.58,101.82,0.54,13.69,22.55,0.15,108.95,-1.0,112.1,109.7,11.88,12.38,5.13,3.66
19,W,110,106,2,1,17,False,100.62,0.51,15.36,23.46,0.13,102.68,100.62,0.57,12.53,21.56,0.19,116.49,-2.0,110.4,109.9,12.41,12.9,3.57,3.45
8,W,125,116,3,1,17,False,100.34,0.49,15.2,24.19,0.12,99.67,100.34,0.56,12.59,19.97,0.18,113.24,1.0,109.3,98.1,9.16,9.73,4.8,5.0
0,L,105,123,4,3,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,3.0,110.5,109.9,15.78,14.68,4.7,5.29
7,L,116,134,4,4,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,1.0,117.4,116.2,13.44,10.0,4.15,3.42
17,L,101,122,4,5,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,110.7,115.9,10.11,13.59,5.3,4.8
10,L,101,104,4,6,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,1.0,121.6,107.2,11.41,14.24,5.62,4.76
6,L,124,136,4,7,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,1.0,114.5,118.5,11.41,14.52,5.71,4.52
