Opponent,Resultado,Tm,Opp,W,L,Team,Is_Playoffs,Previous_Team_Pace,Previous_Team_eFG%,Previous_Team_TOV%,Previous_Team_ORB%,Previous_Team_FT/FGA,Previous_Team_ORtg,Previous_Opponent_Pace,Previous_Opponent_eFG%,Previous_Opponent_TOV%,Previous_Opponent_ORB%,Previous_Opponent_FT/FGA,Previous_Opponent_ORtg,Previous_Streak,Previous_Tm,Previous_Opp,Score_Starters_Team,Score_Starters_Opp,Score_Bench_Team,Score_Bench_Opp
14,W,111,104,0,0,17,False,99.7,0.49,13.77,26.2,0.16,104.76,99.7,0.54,12.17,20.46,0.2,111.46,1.0,113.9,125.0,14.31,9.39,3.25,6.06
18,W,96,87,1,0,17,False,99.93,0.49,14.24,26.04,0.15,102.68,99.93,0.52,12.27,21.39,0.19,109.47,2.0,109.5,111.8,14.32,10.53,3.49,4.26
9,L,102,130,2,2,17,False,99.59,0.49,15.07,26.39,0.15,102.12,99.59,0.52,12.12,23.35,0.18,109.32,-1.0,106.1,109.4,11.85,11.83,4.21,3.36
19,W,110,106,2,1,17,False,100.53,0.49,15.9,27.18,0.16,101.51,100.53,0.53,12.48,21.33,0.18,109.28,-2.0,110.7,112.3,11.36,13.39,3.31,3.6
8,W,125,116,3,1,17,False,100.72,0.49,15.73,26.3,0.15,100.61,100.72,0.54,12.88,21.58,0.18,110.78,1.0,110.0,100.5,9.4,9.64,4.76,4.46
0,L,105,123,4,3,17,False,100.14,0.5,14.66,24.6,0.14,102.85,100.14,0.55,12.35,21.16,0.19,113.52,3.0,113.2,111.2,14.73,13.46,3.85,4.98
7,L,116,134,4,4,17,False,99.99,0.49,14.57,25.19,0.14,101.73,99.99,0.54,12.35,20.61,0.19,111.66,1.0,112.4,110.6,11.65,13.17,3.09,3.01
17,L,101,122,4,5,17,False,100.09,0.49,14.85,25.99,0.15,102.32,100.09,0.53,12.37,21.41,0.19,110.78,-1.0,107.0,110.1,9.62,12.59,4.74,4.07
10,L,101,104,4,6,17,False,100.09,0.49,14.85,25.99,0.15,102.32,100.09,0.53,12.37,21.41,0.19,110.78,1.0,118.1,106.3,11.79,12.85,4.75,4.64
6,L,124,136,4,7,17,False,100.09,0.49,14.85,25.99,0.15,102.32,100.09,0.53,12.37,21.41,0.19,110.78,1.0,111.6,115.7,11.37,13.9,4.82,4.26
6,W,131,110,4,6,17,False,100.09,0.49,14.85,25.99,0.15,102.32,100.09,0.53,12.37,21.41,0.19,110.78,-5.0,114.0,115.3,11.22,13.9,5.36,4.32
7,W,115,110,5,6,17,False,100.09,0.49,14.85,25.99,0.15,102.32,100.09,0.53,12.37,21.41,0.19,110.78,-2.0,114.0,113.1,11.22,13.17,6.04,3.72
17,L,120,121,6,8,17,False,100.09,0.49,14.85,25.99,0.15,102.32,100.09,0.53,12.37,21.41,0.19,110.78,-3.0,108.7,113.9,9.74,12.61,6.6,4.64
24,W,129,93,6,7,17,False,100.09,0.49,14.85,25.99,0.15,102.32,100.09,0.53,12.37,21.41,0.19,110.78,-1.0,114.7,111.0,11.22,13.5,5.03,3.35
