Opponent,Resultado,Tm,Opp,W,L,Team,Is_Playoffs,Previous_Team_Pace,Previous_Team_eFG%,Previous_Team_TOV%,Previous_Team_ORB%,Previous_Team_FT/FGA,Previous_Team_ORtg,Previous_Opponent_Pace,Previous_Opponent_eFG%,Previous_Opponent_TOV%,Previous_Opponent_ORB%,Previous_Opponent_FT/FGA,Previous_Opponent_ORtg,Previous_Streak,Previous_Tm,Previous_Opp,Score_Starters_Team,Score_Starters_Opp,Score_Bench_Team,Score_Bench_Opp
14,W,111,104,0,0,17,False,101.77,0.49,17.03,26.1,0.14,97.73,101.77,0.56,13.7,21.5,0.16,111.97,1.0,116.7,126.3,15.03,6.84,3.5,6.18
18,W,96,87,1,0,17,False,100.76,0.52,14.98,22.07,0.12,102.01,100.76,0.59,12.73,20.5,0.19,118.76,2.0,107.0,108.0,16.0,10.53,3.32,4.03
9,L,102,130,2,2,17,False,100.61,0.5,14.87,22.59,0.11,99.11,100.61,0.58,12.88,19.0,0.18,116.18,-1.0,112.0,103.7,11.63,11.15,3.48,3.25
19,W,110,106,2,1,17,False,101.05,0.5,15.63,23.59,0.12,99.62,101.05,0.58,13.1,20.33,0.18,115.64,-2.0,105.7,111.0,10.46,12.69,2.77,2.52
8,W,125,116,3,1,17,False,101.05,0.5,15.63,23.59,0.12,99.62,101.05,0.58,13.1,20.33,0.18,115.64,1.0,110.3,103.0,8.41,11.21,3.36,3.05
0,L,105,123,4,3,17,False,101.05,0.5,15.63,23.59,0.12,99.62,101.05,0.58,13.1,20.33,0.18,115.64,3.0,118.0,114.3,12.4,13.31,2.8,5.15
7,L,116,134,4,4,17,False,101.05,0.5,15.63,23.59,0.12,99.62,101.05,0.58,13.1,20.33,0.18,115.64,1.0,106.0,103.0,10.19,13.46,1.91,2.97
17,L,101,122,4,5,17,False,101.05,0.5,15.63,23.59,0.12,99.62,101.05,0.58,13.1,20.33,0.18,115.64,-1.0,109.7,114.0,8.19,11.84,3.62,3.59
10,L,101,104,4,6,17,False,101.05,0.5,15.63,23.59,0.12,99.62,101.05,0.58,13.1,20.33,0.18,115.64,1.0,116.0,109.7,9.38,10.46,3.28,3.7
6,L,124,136,4,7,17,False,101.05,0.5,15.63,23.59,0.12,99.62,101.05,0.58,13.1,20.33,0.18,115.64,1.0,112.0,114.7,9.38,14.28,3.1,4.43
