G,Date,Opponent,Unnamed: 7,Tm,Opp,W,L,Streak,Team,Year,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Team_Player1_Starters,Team_Player2_Starters,Team_Player3_Starters,Team_Player4_Starters,Team_Player5_Starters,Team_Player6_Starters,Team_Player7_Starters,Team_Player8_Starters,Team_Player9_Starters,Team_Player10_Starters,Team_Player11_Starters,Team_Player12_Starters,Team_Player13_Starters,Team_Player14_Starters,Team_Player15_Starters,Opponent_Player1_Starters,Opponent_Player2_Starters,Opponent_Player3_Starters,Opponent_Player4_Starters,Opponent_Player5_Starters,Opponent_Player6_Starters,Opponent_Player7_Starters,Opponent_Player8_Starters,Opponent_Player9_Starters,Opponent_Player10_Starters,Opponent_Player11_Starters,Opponent_Player12_Starters,Opponent_Player13_Starters,Opponent_Player14_Starters,Opponent_Player15_Starters,Opponent_Player16_Starters,Team_Player16_Starters,Team_Player17_Starters,Opponent_Player17_Starters
33,20210228,MIN,W,118,99,22,11,W 2,PHO,2021,False,105.7,.534,13.8,19.0,.258,111.7,105.7,.419,13.4,20.4,.226,93.7,Devin Booker,Chris Paul,Mikal Bridges,Deandre Ayton,Frank Kaminsky,Jae Crowder,E'Twaun Moore,Abdel Nader,Cameron Johnson,Dario Šarić,Jevon Carter,Cameron Payne,Jalen Smith,Langston Galloway,Team Totals,Anthony Edwards,Karl-Anthony Towns,Ricky Rubio,Josh Okogie,Jarred Vanderbilt,Jake Layman,Jordan McLaughlin,Jaylen Nowell,Naz Reid,Jarrett Culver,Jaden McDaniels,Juancho Hernangómez,Malik Beasley,Ed Davis,Team Totals,,,,
34,20210302,LAL,W,114,104,23,11,W 3,PHO,2021,False,93.4,.597,13.7,14.7,.286,122.1,93.4,.576,12.2,14.3,.165,111.4,Jae Crowder,Mikal Bridges,Chris Paul,Deandre Ayton,Devin Booker,Dario Šarić,Abdel Nader,Cameron Johnson,Cameron Payne,E'Twaun Moore,Jevon Carter,Langston Galloway,Frank Kaminsky,Jalen Smith,Team Totals,Dennis Schröder,LeBron James,Markieff Morris,Kentavious Caldwell-Pope,Montrezl Harrell,Wesley Matthews,Alex Caruso,Talen Horton-Tucker,Jared Dudley,Damian Jones,Kostas Antetokounmpo,Devontae Cacok,Kyle Kuzma,Alfonzo McKinnie,Team Totals,,,,
35,20210304,GSW,W,120,98,24,11,W 4,PHO,2021,False,102.4,.573,13.6,27.9,.104,117.2,102.4,.500,15.2,18.4,.114,95.7,Devin Booker,Mikal Bridges,Jae Crowder,Deandre Ayton,Chris Paul,Cameron Payne,Frank Kaminsky,Abdel Nader,Dario Šarić,Jevon Carter,E'Twaun Moore,Jalen Smith,Langston Galloway,Team Totals,,James Wiseman,Juan Toscano-Anderson,Nico Mannion,Andrew Wiggins,Damion Lee,Jordan Poole,Brad Wanamaker,Eric Paschall,Kevon Looney,Kent Bazemore,Mychal Mulder,Kelly Oubre Jr.,Team Totals,,,,,,
36,20210311,POR,W,127,121,25,11,W 5,PHO,2021,False,96.6,.669,12.5,16.1,.193,131.4,96.6,.553,9.7,31.3,.181,125.2,Mikal Bridges,Devin Booker,Chris Paul,Deandre Ayton,Frank Kaminsky,Jae Crowder,Dario Šarić,Abdel Nader,Cameron Payne,E'Twaun Moore,Ty-Shon Alexander,Jevon Carter,Langston Galloway,Jalen Smith,Team Totals,Damian Lillard,Gary Trent Jr.,Robert Covington,Enes Freedom,Derrick Jones Jr.,Carmelo Anthony,Nassir Little,Rodney Hood,Anfernee Simons,Keljin Blevins,Zach Collins,CJ Elleby,CJ McCollum,Jusuf Nurkić,Team Totals,,,,
37,20210313,IND,L,111,122,25,12,L 1,PHO,2021,False,102.0,.538,14.0,21.7,.143,108.9,102.0,.603,14.3,23.1,.195,119.7,Devin Booker,Chris Paul,Mikal Bridges,Deandre Ayton,Frank Kaminsky,Dario Šarić,Abdel Nader,Jae Crowder,Cameron Payne,E'Twaun Moore,Jevon Carter,Ty-Shon Alexander,Langston Galloway,Jalen Smith,Team Totals,Domantas Sabonis,Malcolm Brogdon,Justin Holiday,Myles Turner,Caris LeVert,Doug McDermott,T.J. McConnell,Edmond Sumner,Aaron Holiday,Goga Bitadze,Jeremy Lamb,Jalen Lecque,Kelan Martin,JaKarr Sampson,Cassius Stanley,Team Totals,,,
38,20210315,MEM,W,122,99,26,12,W 1,PHO,2021,False,98.4,.639,14.2,14.7,.193,124.0,98.4,.466,10.1,21.3,.207,100.6,Devin Booker,Jae Crowder,Deandre Ayton,Chris Paul,Mikal Bridges,Cameron Payne,Langston Galloway,Dario Šarić,Jevon Carter,Frank Kaminsky,Jalen Smith,Ty-Shon Alexander,E'Twaun Moore,Abdel Nader,Team Totals,Dillon Brooks,Ja Morant,Kyle Anderson,Jonas Valančiūnas,Desmond Bane,Grayson Allen,Brandon Clarke,De'Anthony Melton,Tyus Jones,Xavier Tillman Sr.,John Konchar,Sean McDermott,Killian Tillie,Jontay Porter,Gorgui Dieng,Team Totals,,,
39,20210318,MIN,L,119,123,26,13,L 1,PHO,2021,False,105.6,.618,19.1,25.0,.165,112.7,105.6,.532,10.0,22.4,.258,116.5,Devin Booker,Mikal Bridges,Chris Paul,Jae Crowder,Deandre Ayton,Dario Šarić,Cameron Payne,Langston Galloway,Abdel Nader,Jevon Carter,Frank Kaminsky,Ty-Shon Alexander,E'Twaun Moore,Jalen Smith,Team Totals,Anthony Edwards,Karl-Anthony Towns,Ricky Rubio,Jake Layman,Jarred Vanderbilt,Jaden McDaniels,Josh Okogie,Juancho Hernangómez,Jaylen Nowell,Naz Reid,Malik Beasley,Jarrett Culver,Ed Davis,Team Totals,,,,,
40,20210319,MIN,W,113,101,27,13,W 1,PHO,2021,False,102.2,.581,16.1,15.0,.151,110.6,102.2,.551,18.7,12.8,.177,98.9,Devin Booker,Mikal Bridges,Chris Paul,Jae Crowder,Deandre Ayton,Dario Šarić,Cameron Payne,Abdel Nader,Langston Galloway,Frank Kaminsky,Jalen Smith,Ty-Shon Alexander,Jevon Carter,Torrey Craig,E'Twaun Moore,Anthony Edwards,Karl-Anthony Towns,Ricky Rubio,Jaden McDaniels,Josh Okogie,Jaylen Nowell,Juancho Hernangómez,Jake Layman,Naz Reid,Jarrett Culver,Jarred Vanderbilt,Malik Beasley,Ed Davis,Team Totals,,,Team Totals,,
41,20210321,LAL,W,111,94,28,13,W 2,PHO,2021,False,98.3,.534,10.2,20.9,.207,112.9,98.3,.441,10.2,14.3,.224,95.6,Devin Booker,Mikal Bridges,Chris Paul,Deandre Ayton,Jae Crowder,Cameron Payne,Cameron Johnson,Dario Šarić,Abdel Nader,Langston Galloway,Torrey Craig,Jevon Carter,Jalen Smith,Frank Kaminsky,E'Twaun Moore,Kyle Kuzma,Kentavious Caldwell-Pope,Dennis Schröder,Markieff Morris,Wesley Matthews,Montrezl Harrell,Talen Horton-Tucker,Alex Caruso,Alfonzo McKinnie,Devontae Cacok,Kostas Antetokounmpo,Marc Gasol,Team Totals,,,,Team Totals,,
42,20210323,MIA,W,110,100,29,13,W 3,PHO,2021,False,89.9,.560,6.9,19.5,.088,122.3,89.9,.494,13.0,35.4,.174,111.2,Deandre Ayton,Mikal Bridges,Chris Paul,Devin Booker,Jae Crowder,Cameron Payne,Torrey Craig,Cameron Johnson,Langston Galloway,Dario Šarić,Jevon Carter,Ty-Shon Alexander,Jalen Smith,Frank Kaminsky,E'Twaun Moore,Kendrick Nunn,Bam Adebayo,Duncan Robinson,Jimmy Butler,Kelly Olynyk,Tyler Herro,Trevor Ariza,Andre Iguodala,Gabe Vincent,Precious Achiuwa,Max Strus,Goran Dragić,Maurice Harkless,KZ Okpala,Chris Silva,Team Totals,Team Totals,,
