G,Date,Opponent,Unnamed: 7,Tm,Opp,W,L,Streak,Team,Year,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Team_Player1_Starters,Team_Player2_Starters,Team_Player3_Starters,Team_Player4_Starters,Team_Player5_Starters,Team_Player6_Starters,Team_Player7_Starters,Team_Player8_Starters,Team_Player9_Starters,Team_Player10_Starters,Team_Player11_Starters,Team_Player12_Starters,Team_Player13_Starters,Team_Player14_Starters,Team_Player15_Starters,Opponent_Player1_Starters,Opponent_Player2_Starters,Opponent_Player3_Starters,Opponent_Player4_Starters,Opponent_Player5_Starters,Opponent_Player6_Starters,Opponent_Player7_Starters,Opponent_Player8_Starters,Opponent_Player9_Starters,Opponent_Player10_Starters,Opponent_Player11_Starters,Opponent_Player12_Starters,Opponent_Player13_Starters,Opponent_Player14_Starters,Opponent_Player15_Starters,Opponent_Player16_Starters,Team_Player16_Starters,Team_Player17_Starters,Opponent_Player17_Starters
1,20201223,TOR,W,113,99,1,0,W 1,NOP,2021,False,106.0,.644,23.3,22.2,.125,106.6,106.0,.506,18.2,15.9,.101,93.4,Brandon Ingram,Eric Bledsoe,Steven Adams,Zion Williamson,Lonzo Ball,JJ Redick,Josh Hart,Nicolò Melli,Jaxson Hayes,Nickeil Alexander-Walker,Willy Hernangómez,Kira Lewis Jr.,Naji Marshall,Sindarius Thornwell,Team Totals,Pascal Siakam,Kyle Lowry,OG Anunoby,Fred VanVleet,Aron Baynes,Norman Powell,Matt Thomas,Chris Boucher,DeAndre' Bembry,Terence Davis,Malachi Flynn,Stanley Johnson,Alex Len,Yuta Watanabe,Paul Watson,Team Totals,,,
2,20201225,MIA,L,98,111,1,1,L 1,NOP,2021,False,96.8,.462,17.0,26.2,.333,101.3,96.8,.613,16.6,11.8,.253,114.7,Zion Williamson,Brandon Ingram,Lonzo Ball,Eric Bledsoe,Steven Adams,Josh Hart,JJ Redick,Nicolò Melli,Jaxson Hayes,Nickeil Alexander-Walker,Willy Hernangómez,Kira Lewis Jr.,Naji Marshall,Sindarius Thornwell,Team Totals,Tyler Herro,Duncan Robinson,Bam Adebayo,Meyers Leonard,Jimmy Butler,Avery Bradley,Goran Dragić,Andre Iguodala,Precious Achiuwa,Maurice Harkless,KZ Okpala,Chris Silva,Udonis Haslem,Kendrick Nunn,Kelly Olynyk,Team Totals,,,
3,20201227,SAS,W,98,95,2,1,W 1,NOP,2021,False,100.9,.410,7.0,23.2,.223,97.2,100.9,.489,14.0,8.5,.090,94.2,Zion Williamson,Lonzo Ball,Brandon Ingram,Steven Adams,Eric Bledsoe,Josh Hart,JJ Redick,Jaxson Hayes,Nickeil Alexander-Walker,Willy Hernangómez,Kira Lewis Jr.,Naji Marshall,Nicolò Melli,Sindarius Thornwell,Team Totals,Lonnie Walker IV,DeMar DeRozan,Dejounte Murray,Keldon Johnson,LaMarcus Aldridge,Rudy Gay,Jakob Poeltl,Patty Mills,Devin Vassell,Trey Lyles,Keita Bates-Diop,Drew Eubanks,Tre Jones,Luka Šamanić,Team Totals,,,,
4,20201229,PHO,L,86,111,2,2,L 1,NOP,2021,False,92.4,.500,17.5,18.4,.117,93.1,92.4,.554,11.5,26.1,.214,120.1,Zion Williamson,Brandon Ingram,Eric Bledsoe,Steven Adams,Lonzo Ball,Josh Hart,Nickeil Alexander-Walker,JJ Redick,Nicolò Melli,Jaxson Hayes,Kira Lewis Jr.,Sindarius Thornwell,Willy Hernangómez,Naji Marshall,Team Totals,Mikal Bridges,Deandre Ayton,Devin Booker,Chris Paul,Jae Crowder,Cameron Payne,Cameron Johnson,Jevon Carter,Dario Šarić,Langston Galloway,Frank Kaminsky,Damian Jones,E'Twaun Moore,Ty-Shon Alexander,Jalen Smith,Team Totals,,,
5,20201231,OKC,W,113,80,3,2,W 1,NOP,2021,False,97.1,.555,11.6,29.8,.132,116.3,97.1,.469,18.0,13.7,.063,82.4,Lonzo Ball,Steven Adams,Brandon Ingram,Eric Bledsoe,Zion Williamson,Josh Hart,Nickeil Alexander-Walker,JJ Redick,Nicolò Melli,Jaxson Hayes,Kira Lewis Jr.,Sindarius Thornwell,Willy Hernangómez,Naji Marshall,Team Totals,Shai Gilgeous-Alexander,Darius Bazley,Al Horford,George Hill,Luguentz Dort,Théo Maledon,Aleksej Pokusevski,Isaiah Roby,Hamidou Diallo,Mike Muscala,Josh Hall,Kenrich Williams,Moses Brown,Justin Jackson,Darius Miller,Team Totals,,,
6,20210102,TOR,W,120,116,4,2,W 2,NOP,2021,False,99.0,.506,11.1,31.8,.434,121.3,99.0,.495,8.9,21.7,.286,117.2,Brandon Ingram,Lonzo Ball,Zion Williamson,Steven Adams,Eric Bledsoe,Josh Hart,JJ Redick,Jaxson Hayes,Nickeil Alexander-Walker,Nicolò Melli,Willy Hernangómez,Kira Lewis Jr.,Will Magnay,Naji Marshall,Team Totals,Fred VanVleet,Kyle Lowry,OG Anunoby,Pascal Siakam,Aron Baynes,Chris Boucher,Norman Powell,Stanley Johnson,Alex Len,Terence Davis,DeAndre' Bembry,Malachi Flynn,Matt Thomas,Yuta Watanabe,Paul Watson,Team Totals,,,
7,20210104,IND,L,116,118,4,3,L 1,NOP,2021,False,98.2,.480,13.9,30.2,.188,107.0,98.2,.586,12.4,10.9,.097,108.9,Brandon Ingram,Lonzo Ball,Zion Williamson,Eric Bledsoe,Steven Adams,JJ Redick,Josh Hart,Jaxson Hayes,Nickeil Alexander-Walker,Wenyen Gabriel,Willy Hernangómez,Kira Lewis Jr.,Will Magnay,Naji Marshall,Nicolò Melli,Malcolm Brogdon,Victor Oladipo,Domantas Sabonis,Myles Turner,Aaron Holiday,Justin Holiday,Doug McDermott,T.J. McConnell,JaKarr Sampson,Jalen Lecque,Kelan Martin,Cassius Stanley,Edmond Sumner,Team Totals,,,Team Totals,,
8,20210106,OKC,L,110,111,4,4,L 2,NOP,2021,False,103.1,.517,13.1,20.9,.202,106.7,103.1,.569,13.0,8.5,.138,107.6,Brandon Ingram,Lonzo Ball,Steven Adams,Zion Williamson,Eric Bledsoe,Josh Hart,Nickeil Alexander-Walker,Jaxson Hayes,JJ Redick,Wenyen Gabriel,Willy Hernangómez,Kira Lewis Jr.,Will Magnay,Naji Marshall,Nicolò Melli,Shai Gilgeous-Alexander,Darius Bazley,Luguentz Dort,George Hill,Al Horford,Mike Muscala,Hamidou Diallo,Théo Maledon,Kenrich Williams,Isaiah Roby,Moses Brown,Josh Hall,Justin Jackson,Darius Miller,Team Totals,,Team Totals,,
9,20210108,CHO,L,110,118,4,5,L 3,NOP,2021,False,94.5,.591,17.7,25.6,.247,116.4,94.5,.563,13.3,38.1,.230,124.9,Lonzo Ball,Brandon Ingram,Steven Adams,Zion Williamson,Eric Bledsoe,Josh Hart,JJ Redick,Nickeil Alexander-Walker,Jaxson Hayes,Nicolò Melli,Wenyen Gabriel,Willy Hernangómez,Kira Lewis Jr.,Naji Marshall,Sindarius Thornwell,Gordon Hayward,Devonte' Graham,Terry Rozier,P.J. Washington,Bismack Biyombo,Miles Bridges,LaMelo Ball,Caleb Martin,Cody Martin,Vernon Carey Jr.,Jalen McDaniels,Malik Monk,Nick Richards,Team Totals,,,Team Totals,,
10,20210113,LAC,L,106,111,4,6,L 4,NOP,2021,False,91.9,.534,10.4,26.7,.136,115.3,91.9,.595,10.4,7.7,.311,120.7,Brandon Ingram,Josh Hart,Nickeil Alexander-Walker,Steven Adams,Sindarius Thornwell,JJ Redick,Nicolò Melli,Jaxson Hayes,Kira Lewis Jr.,Wenyen Gabriel,Willy Hernangómez,Will Magnay,Naji Marshall,Team Totals,,Kawhi Leonard,Paul George,Patrick Beverley,Nicolas Batum,Serge Ibaka,Ivica Zubac,Luke Kennard,Marcus Morris,Lou Williams,Reggie Jackson,Mfiondu Kabengele,Terance Mann,Daniel Oturu,Patrick Patterson,Team Totals,,,,
11,20210115,LAL,L,95,112,4,7,L 5,NOP,2021,False,96.9,.529,18.3,24.4,.047,98.0,96.9,.500,7.1,26.0,.204,115.6,Brandon Ingram,Zion Williamson,Steven Adams,Josh Hart,Nickeil Alexander-Walker,JJ Redick,Nicolò Melli,Eric Bledsoe,Kira Lewis Jr.,Jaxson Hayes,Naji Marshall,Wenyen Gabriel,Willy Hernangómez,Sindarius Thornwell,Team Totals,Anthony Davis,LeBron James,Dennis Schröder,Kentavious Caldwell-Pope,Marc Gasol,Kyle Kuzma,Montrezl Harrell,Alex Caruso,Markieff Morris,Wesley Matthews,Quinn Cook,Talen Horton-Tucker,Alfonzo McKinnie,Team Totals,,,,,
12,20210117,SAC,W,128,123,5,7,W 1,NOP,2021,False,98.7,.594,12.3,35.9,.318,129.6,98.7,.588,10.0,19.0,.176,124.6,Brandon Ingram,Zion Williamson,Nickeil Alexander-Walker,Steven Adams,Eric Bledsoe,Josh Hart,JJ Redick,Jaxson Hayes,Kira Lewis Jr.,Wenyen Gabriel,Willy Hernangómez,Naji Marshall,Nicolò Melli,Sindarius Thornwell,Team Totals,Richaun Holmes,Harrison Barnes,De'Aaron Fox,Marvin Bagley III,Buddy Hield,Tyrese Haliburton,Cory Joseph,Glenn Robinson III,Chimezie Metu,Nemanja Bjelica,Kyle Guy,Justin James,Jabari Parker,Robert Woodard II,Team Totals,,,,
13,20210119,UTA,L,102,118,5,8,L 1,NOP,2021,False,96.8,.484,7.3,18.9,.105,105.4,96.8,.629,14.7,28.2,.129,121.9,Zion Williamson,Brandon Ingram,Eric Bledsoe,Steven Adams,Lonzo Ball,Nickeil Alexander-Walker,Josh Hart,JJ Redick,Jaxson Hayes,Kira Lewis Jr.,Willy Hernangómez,Naji Marshall,Sindarius Thornwell,Wenyen Gabriel,Nicolò Melli,Royce O'Neale,Donovan Mitchell,Rudy Gobert,Bojan Bogdanović,Mike Conley,Jordan Clarkson,Joe Ingles,Derrick Favors,Georges Niang,Miye Oni,Shaquille Harrison,Udoka Azubuike,Jarrell Brantley,Team Totals,,,Team Totals,,
14,20210121,UTA,L,118,129,5,9,L 2,NOP,2021,False,103.6,.559,15.5,24.4,.271,113.9,103.6,.597,13.2,20.5,.273,124.6,Zion Williamson,Brandon Ingram,Steven Adams,Eric Bledsoe,Lonzo Ball,Josh Hart,JJ Redick,Nickeil Alexander-Walker,Jaxson Hayes,Sindarius Thornwell,Willy Hernangómez,Naji Marshall,Kira Lewis Jr.,Nicolò Melli,Wenyen Gabriel,Donovan Mitchell,Royce O'Neale,Mike Conley,Rudy Gobert,Bojan Bogdanović,Jordan Clarkson,Joe Ingles,Derrick Favors,Georges Niang,Udoka Azubuike,Shaquille Harrison,Juwan Morgan,Miye Oni,Team Totals,,,Team Totals,,
15,20210123,MIN,L,110,120,5,10,L 3,NOP,2021,False,105.1,.517,17.5,21.7,.230,104.7,105.1,.495,10.8,30.4,.330,114.2,Zion Williamson,Brandon Ingram,Eric Bledsoe,Lonzo Ball,Steven Adams,Josh Hart,Nickeil Alexander-Walker,Jaxson Hayes,JJ Redick,Wenyen Gabriel,Willy Hernangómez,Kira Lewis Jr.,Naji Marshall,Nicolò Melli,Sindarius Thornwell,Malik Beasley,Ricky Rubio,Naz Reid,Josh Okogie,Jarred Vanderbilt,Jarrett Culver,Anthony Edwards,Jaden McDaniels,Jordan McLaughlin,Ed Davis,Ashton Hagans,Jake Layman,Jaylen Nowell,Team Totals,,,Team Totals,,
16,20210127,WAS,W,124,106,6,10,W 1,NOP,2021,False,99.0,.612,13.1,30.0,.169,125.3,99.0,.473,9.8,22.4,.207,107.1,Brandon Ingram,Eric Bledsoe,Steven Adams,Zion Williamson,Lonzo Ball,Nickeil Alexander-Walker,Josh Hart,Jaxson Hayes,JJ Redick,Wenyen Gabriel,Willy Hernangómez,Kira Lewis Jr.,Naji Marshall,Nicolò Melli,Sindarius Thornwell,Bradley Beal,Jordan Bell,Isaac Bonga,Robin Lopez,Raul Neto,Garrison Mathews,Jerome Robinson,Alex Len,Cassius Winston,Anthony Gill,Moritz Wagner,Russell Westbrook,Team Totals,,,,Team Totals,,
17,20210129,MIL,W,131,126,7,10,W 2,NOP,2021,False,103.0,.578,7.7,24.5,.208,127.2,103.0,.568,10.2,26.7,.177,122.4,Steven Adams,Brandon Ingram,Lonzo Ball,Eric Bledsoe,Zion Williamson,Josh Hart,Nickeil Alexander-Walker,Nicolò Melli,Wenyen Gabriel,Jaxson Hayes,Willy Hernangómez,Kira Lewis Jr.,Will Magnay,JJ Redick,Sindarius Thornwell,Giannis Antetokounmpo,Jrue Holiday,Khris Middleton,Brook Lopez,Donte DiVincenzo,Bryn Forbes,Pat Connaughton,Bobby Portis,D.J. Augustin,Torrey Craig,Thanasis Antetokounmpo,Sam Merrill,Jordan Nwora,D.J. Wilson,Team Totals,,Team Totals,,
18,20210130,HOU,L,112,126,7,11,L 1,NOP,2021,False,107.3,.516,12.6,20.8,.198,104.4,107.3,.598,13.7,15.6,.174,117.4,Brandon Ingram,Zion Williamson,Eric Bledsoe,Lonzo Ball,Steven Adams,Nickeil Alexander-Walker,Josh Hart,Jaxson Hayes,Nicolò Melli,Kira Lewis Jr.,Sindarius Thornwell,Wenyen Gabriel,Willy Hernangómez,Will Magnay,JJ Redick,Christian Wood,John Wall,P.J. Tucker,Victor Oladipo,Jae'Sean Tate,Danuel House Jr.,Eric Gordon,Sterling Brown,David Nwaba,DeMarcus Cousins,Ben McLemore,Mason Jones,Rodions Kurucs,Team Totals,,,Team Totals,,
19,20210201,SAC,L,109,118,7,12,L 2,NOP,2021,False,102.0,.441,8.2,30.4,.198,106.9,102.0,.557,16.7,31.0,.227,115.7,Eric Bledsoe,Brandon Ingram,Lonzo Ball,Zion Williamson,Jaxson Hayes,Josh Hart,Willy Hernangómez,Nickeil Alexander-Walker,Kira Lewis Jr.,Wenyen Gabriel,Will Magnay,Nicolò Melli,JJ Redick,Sindarius Thornwell,Team Totals,Harrison Barnes,De'Aaron Fox,Buddy Hield,Richaun Holmes,Marvin Bagley III,Tyrese Haliburton,Hassan Whiteside,Cory Joseph,Kyle Guy,Chimezie Metu,Nemanja Bjelica,Justin James,Jabari Parker,Glenn Robinson III,Team Totals,,,,
20,20210203,PHO,W,123,101,8,12,W 1,NOP,2021,False,92.1,.589,6.6,30.0,.189,133.5,92.1,.512,14.2,25.6,.207,109.6,Brandon Ingram,Zion Williamson,Eric Bledsoe,Steven Adams,Lonzo Ball,Josh Hart,Nickeil Alexander-Walker,Willy Hernangómez,JJ Redick,Nicolò Melli,Kira Lewis Jr.,Sindarius Thornwell,Wenyen Gabriel,Jaxson Hayes,Team Totals,Mikal Bridges,Devin Booker,Deandre Ayton,Cameron Johnson,Chris Paul,Frank Kaminsky,E'Twaun Moore,Langston Galloway,Abdel Nader,Jae Crowder,Damian Jones,Jevon Carter,Jalen Smith,Team Totals,,,,,
21,20210205,IND,W,114,113,9,12,W 2,NOP,2021,False,96.8,.625,18.6,28.9,.250,117.8,96.8,.548,9.1,20.4,.118,116.7,Brandon Ingram,Lonzo Ball,Zion Williamson,Steven Adams,Eric Bledsoe,Josh Hart,Willy Hernangómez,Nickeil Alexander-Walker,JJ Redick,Sindarius Thornwell,Wenyen Gabriel,Jaxson Hayes,Kira Lewis Jr.,Nicolò Melli,Team Totals,Justin Holiday,Domantas Sabonis,Malcolm Brogdon,Myles Turner,Jeremy Lamb,Doug McDermott,T.J. McConnell,Goga Bitadze,Aaron Holiday,Kelan Martin,JaKarr Sampson,Edmond Sumner,Team Totals,,,,,,
22,20210206,MEM,W,118,109,10,12,W 3,NOP,2021,False,95.7,.603,9.4,19.0,.149,123.3,95.7,.517,9.2,24.4,.178,113.9,Brandon Ingram,Zion Williamson,Eric Bledsoe,Lonzo Ball,Steven Adams,Josh Hart,Kira Lewis Jr.,Willy Hernangómez,JJ Redick,Nickeil Alexander-Walker,Wenyen Gabriel,Jaxson Hayes,Nicolò Melli,Sindarius Thornwell,Team Totals,Ja Morant,Kyle Anderson,Xavier Tillman Sr.,Dillon Brooks,Gorgui Dieng,Jonas Valančiūnas,Grayson Allen,Tyus Jones,Desmond Bane,De'Anthony Melton,Brandon Clarke,John Konchar,Team Totals,,,,,,
23,20210209,HOU,W,130,101,11,12,W 4,NOP,2021,False,97.7,.576,10.3,37.5,.261,133.0,97.7,.489,10.7,23.1,.132,103.3,Lonzo Ball,Brandon Ingram,Eric Bledsoe,Steven Adams,Zion Williamson,Josh Hart,Willy Hernangómez,Kira Lewis Jr.,Nickeil Alexander-Walker,JJ Redick,Jaxson Hayes,Wenyen Gabriel,Sindarius Thornwell,Nicolò Melli,Team Totals,John Wall,Eric Gordon,Jae'Sean Tate,P.J. Tucker,DeMarcus Cousins,Danuel House Jr.,Sterling Brown,David Nwaba,Ben McLemore,Mason Jones,Rodions Kurucs,Victor Oladipo,Team Totals,,,,,,
24,20210210,CHI,L,116,129,11,13,L 1,NOP,2021,False,93.9,.586,11.5,24.3,.259,123.5,93.9,.747,16.5,21.2,.099,137.3,Brandon Ingram,Zion Williamson,Lonzo Ball,Steven Adams,Eric Bledsoe,Josh Hart,Kira Lewis Jr.,JJ Redick,Willy Hernangómez,Nickeil Alexander-Walker,Wenyen Gabriel,Jaxson Hayes,Nicolò Melli,Sindarius Thornwell,Team Totals,Zach LaVine,Patrick Williams,Coby White,Denzel Valentine,Daniel Gafford,Garrett Temple,Thaddeus Young,Tomáš Satoranský,Ryan Arcidiacono,Luke Kornet,Cristiano Felício,Adam Mokoka,Team Totals,,,,,,
25,20210212,DAL,L,130,143,11,14,L 2,NOP,2021,False,98.0,.628,9.1,22.0,.189,132.7,98.0,.722,5.8,14.7,.182,146.0,Zion Williamson,Brandon Ingram,Eric Bledsoe,Lonzo Ball,Steven Adams,Josh Hart,Willy Hernangómez,Kira Lewis Jr.,JJ Redick,Nickeil Alexander-Walker,Wenyen Gabriel,Jaxson Hayes,Nicolò Melli,Sindarius Thornwell,Team Totals,Luka Dončić,Maxi Kleber,Dorian Finney-Smith,Josh Richardson,Kristaps Porziņģis,Jalen Brunson,Tim Hardaway Jr.,Willie Cauley-Stein,Trey Burke,Dwight Powell,Josh Green,Wes Iwundu,James Johnson,Boban Marjanović,Team Totals,,,,
26,20210214,DET,L,112,123,11,15,L 3,NOP,2021,False,93.3,.494,9.7,39.1,.256,120.1,93.3,.637,13.1,25.7,.190,131.9,Brandon Ingram,Zion Williamson,Eric Bledsoe,Lonzo Ball,Steven Adams,Josh Hart,Kira Lewis Jr.,Willy Hernangómez,Nickeil Alexander-Walker,JJ Redick,Wenyen Gabriel,Jaxson Hayes,Nicolò Melli,Sindarius Thornwell,Team Totals,Saddiq Bey,Jerami Grant,Delon Wright,Mason Plumlee,Wayne Ellington,Svi Mykhailiuk,Josh Jackson,Isaiah Stewart,Dennis Smith Jr.,Rodney McGruder,Jahlil Okafor,Deividas Sirvydis,Team Totals,,,,,,
27,20210216,MEM,W,144,113,12,15,W 1,NOP,2021,False,104.5,.720,16.2,32.4,.143,137.8,104.5,.551,16.5,20.0,.182,108.1,Brandon Ingram,Zion Williamson,Lonzo Ball,Steven Adams,Eric Bledsoe,Josh Hart,Kira Lewis Jr.,Willy Hernangómez,JJ Redick,Jaxson Hayes,Nickeil Alexander-Walker,Nicolò Melli,Sindarius Thornwell,Wenyen Gabriel,Team Totals,Ja Morant,Dillon Brooks,Jonas Valančiūnas,Grayson Allen,Kyle Anderson,John Konchar,Xavier Tillman Sr.,Sean McDermott,Tyus Jones,Brandon Clarke,Gorgui Dieng,De'Anthony Melton,Team Totals,,,,,,
28,20210217,POR,L,124,126,12,16,L 1,NOP,2021,False,94.7,.567,10.5,42.9,.258,130.9,94.7,.611,8.4,17.5,.178,133.0,Lonzo Ball,Zion Williamson,Brandon Ingram,Eric Bledsoe,Steven Adams,Josh Hart,Willy Hernangómez,JJ Redick,Kira Lewis Jr.,Jaxson Hayes,Nickeil Alexander-Walker,Wenyen Gabriel,Nicolò Melli,Sindarius Thornwell,Team Totals,Robert Covington,Damian Lillard,Gary Trent Jr.,Derrick Jones Jr.,Enes Freedom,Anfernee Simons,Carmelo Anthony,Rodney Hood,Nassir Little,Keljin Blevins,Zach Collins,CJ Elleby,CJ McCollum,Jusuf Nurkić,Team Totals,,,,
29,20210219,PHO,L,114,132,12,17,L 2,NOP,2021,False,100.1,.579,13.1,15.4,.232,113.8,100.1,.705,12.2,11.4,.091,131.8,Lonzo Ball,Brandon Ingram,Zion Williamson,Eric Bledsoe,Willy Hernangómez,Josh Hart,Jaxson Hayes,Kira Lewis Jr.,JJ Redick,Nickeil Alexander-Walker,Sindarius Thornwell,Wenyen Gabriel,Nicolò Melli,Steven Adams,Team Totals,Deandre Ayton,Devin Booker,Chris Paul,Mikal Bridges,Frank Kaminsky,Jae Crowder,Cameron Johnson,Cameron Payne,E'Twaun Moore,Dario Šarić,Damian Jones,Jevon Carter,Abdel Nader,Langston Galloway,Team Totals,,,,
30,20210221,BOS,W,120,115,13,17,W 1,NOP,2021,False,98.5,.505,10.5,24.0,.266,110.4,98.5,.449,8.9,21.6,.276,105.8,Brandon Ingram,Zion Williamson,Lonzo Ball,Eric Bledsoe,Willy Hernangómez,Josh Hart,JJ Redick,Nicolò Melli,Jaxson Hayes,Kira Lewis Jr.,Nickeil Alexander-Walker,Steven Adams,Wenyen Gabriel,Sindarius Thornwell,Team Totals,Jayson Tatum,Jaylen Brown,Daniel Theis,Kemba Walker,Tristan Thompson,Aaron Nesmith,Robert Williams,Payton Pritchard,Semi Ojeleye,Carsen Edwards,Tacko Fall,Javonte Green,Jeff Teague,Tremont Waters,Grant Williams,Team Totals,,,
31,20210224,DET,W,128,118,14,17,W 2,NOP,2021,False,100.4,.611,11.2,29.3,.200,127.5,100.4,.601,11.9,21.4,.124,117.5,Brandon Ingram,Lonzo Ball,Eric Bledsoe,Zion Williamson,Steven Adams,Josh Hart,Willy Hernangómez,JJ Redick,Kira Lewis Jr.,Nickeil Alexander-Walker,Wenyen Gabriel,Jaxson Hayes,Nicolò Melli,Sindarius Thornwell,Team Totals,Mason Plumlee,Saddiq Bey,Dennis Smith Jr.,Wayne Ellington,Sekou Doumbouya,Josh Jackson,Svi Mykhailiuk,Saben Lee,Isaiah Stewart,Rodney McGruder,Frank Jackson,Deividas Sirvydis,Team Totals,,,,,,
32,20210225,MIL,L,125,129,14,18,L 1,NOP,2021,False,102.5,.564,7.7,26.1,.098,121.9,102.5,.609,8.0,18.6,.125,125.9,Zion Williamson,Brandon Ingram,Eric Bledsoe,Lonzo Ball,Steven Adams,JJ Redick,Josh Hart,Willy Hernangómez,Nickeil Alexander-Walker,Wenyen Gabriel,Jaxson Hayes,Kira Lewis Jr.,Nicolò Melli,Sindarius Thornwell,Team Totals,Khris Middleton,Giannis Antetokounmpo,Donte DiVincenzo,Brook Lopez,Bobby Portis,Pat Connaughton,Bryn Forbes,Sam Merrill,Thanasis Antetokounmpo,D.J. Augustin,Torrey Craig,D.J. Wilson,Team Totals,,,,,,
33,20210227,SAS,L,114,117,14,19,L 2,NOP,2021,False,95.5,.489,8.7,36.2,.275,119.4,95.5,.547,8.4,18.6,.267,122.6,Brandon Ingram,Lonzo Ball,Zion Williamson,Eric Bledsoe,Steven Adams,Josh Hart,Willy Hernangómez,Nickeil Alexander-Walker,Nicolò Melli,Wenyen Gabriel,Jaxson Hayes,Kira Lewis Jr.,JJ Redick,Sindarius Thornwell,Team Totals,DeMar DeRozan,Dejounte Murray,Trey Lyles,Lonnie Walker IV,Jakob Poeltl,Patty Mills,LaMarcus Aldridge,Luka Šamanić,Keita Bates-Diop,Drew Eubanks,Tre Jones,Derrick White,Team Totals,,,,,,
34,20210301,UTA,W,129,124,15,19,W 1,NOP,2021,False,104.1,.603,11.3,26.3,.196,123.9,104.1,.540,7.6,20.4,.149,119.1,Lonzo Ball,Brandon Ingram,Eric Bledsoe,Zion Williamson,Steven Adams,Josh Hart,Willy Hernangómez,JJ Redick,Nickeil Alexander-Walker,Wenyen Gabriel,Jaxson Hayes,Kira Lewis Jr.,Nicolò Melli,Sindarius Thornwell,Team Totals,Donovan Mitchell,Royce O'Neale,Rudy Gobert,Bojan Bogdanović,Mike Conley,Jordan Clarkson,Joe Ingles,Derrick Favors,Georges Niang,Jarrell Brantley,Trent Forrest,Juwan Morgan,Miye Oni,Team Totals,,,,,
35,20210303,CHI,L,124,128,15,20,L 1,NOP,2021,False,102.6,.590,9.9,17.9,.313,120.8,102.6,.574,13.4,31.7,.213,124.7,Eric Bledsoe,Zion Williamson,Lonzo Ball,Brandon Ingram,Steven Adams,Josh Hart,JJ Redick,Willy Hernangómez,Jaxson Hayes,Nickeil Alexander-Walker,Kira Lewis Jr.,Nicolò Melli,Sindarius Thornwell,Team Totals,,Garrett Temple,Zach LaVine,Coby White,Wendell Carter Jr.,Patrick Williams,Thaddeus Young,Tomáš Satoranský,Denzel Valentine,Ryan Arcidiacono,Daniel Gafford,Cristiano Felício,Lauri Markkanen,Team Totals,,,,,,
36,20210304,MIA,L,93,103,15,21,L 2,NOP,2021,False,89.1,.458,13.1,29.4,.190,104.4,89.1,.562,11.6,14.7,.288,115.6,Josh Hart,Brandon Ingram,Lonzo Ball,Eric Bledsoe,Steven Adams,Nickeil Alexander-Walker,Nicolò Melli,Jaxson Hayes,Kira Lewis Jr.,Willy Hernangómez,JJ Redick,Sindarius Thornwell,Zion Williamson,Team Totals,,Kelly Olynyk,Jimmy Butler,Duncan Robinson,Kendrick Nunn,KZ Okpala,Goran Dragić,Tyler Herro,Andre Iguodala,Precious Achiuwa,Bam Adebayo,Maurice Harkless,Udonis Haslem,Chris Silva,Max Strus,Gabe Vincent,Team Totals,,,
37,20210311,MIN,L,105,135,15,22,L 3,NOP,2021,False,104.7,.460,14.0,38.0,.130,100.3,104.7,.637,10.5,17.9,.147,129.0,Zion Williamson,Steven Adams,Brandon Ingram,Lonzo Ball,Eric Bledsoe,Josh Hart,Nickeil Alexander-Walker,Kira Lewis Jr.,Jaxson Hayes,Nicolò Melli,Sindarius Thornwell,Willy Hernangómez,Wenyen Gabriel,Naji Marshall,Team Totals,Anthony Edwards,Karl-Anthony Towns,Ricky Rubio,Jake Layman,Jarred Vanderbilt,Jaylen Nowell,Jaden McDaniels,Naz Reid,Josh Okogie,Juancho Hernangómez,Malik Beasley,Jarrett Culver,Ed Davis,Team Totals,,,,,
38,20210312,CLE,W,116,82,16,22,W 1,NOP,2021,False,98.4,.495,11.3,40.4,.158,117.9,98.4,.381,6.7,8.9,.170,83.4,Brandon Ingram,Lonzo Ball,Steven Adams,Eric Bledsoe,Zion Williamson,Nickeil Alexander-Walker,Kira Lewis Jr.,Josh Hart,Jaxson Hayes,Nicolò Melli,Willy Hernangómez,Sindarius Thornwell,Wenyen Gabriel,Naji Marshall,Will Magnay,Jarrett Allen,Collin Sexton,Isaac Okoro,Larry Nance Jr.,Kevin Love,Cedi Osman,Dylan Windler,Quinn Cook,Damyean Dotson,Dean Wade,JaVale McGee,Brodric Thomas,Lamar Stevens,Team Totals,,,Team Totals,,
