G,Date,Opponent,Unnamed: 7,Tm,Opp,W,L,Streak,Team,Year,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Team_Player1_Starters,Team_Player2_Starters,Team_Player3_Starters,Team_Player4_Starters,Team_Player5_Starters,Team_Player6_Starters,Team_Player7_Starters,Team_Player8_Starters,Team_Player9_Starters,Team_Player10_Starters,Team_Player11_Starters,Team_Player12_Starters,Team_Player13_Starters,Team_Player14_Starters,Opponent_Player1_Starters,Opponent_Player2_Starters,Opponent_Player3_Starters,Opponent_Player4_Starters,Opponent_Player5_Starters,Opponent_Player6_Starters,Opponent_Player7_Starters,Opponent_Player8_Starters,Opponent_Player9_Starters,Opponent_Player10_Starters,Opponent_Player11_Starters,Opponent_Player12_Starters,Opponent_Player13_Starters,Opponent_Player14_Starters,Opponent_Player15_Starters,Opponent_Player16_Starters,Team_Player15_Starters,Team_Player16_Starters,Opponent_Player17_Starters,Opponent_Player18_Starters,Team_Player17_Starters,Team_Player18_Starters,Team_Player19_Starters
75,20240401,MEM,L,108,110,13,62,L 1,DET,2024,False,93.4,0.576,13.6,23.7,0.215,115.7,93.9,0.5,11.4,31.9,0.209,117.2,Tosan Evbuomwan,Jaden Ivey,Cade Cunningham,Troy Brown Jr.,Jalen Duren,Evan Fournier,James Wiseman,Chimezie Metu,Malachi Flynn,Jared Rhoden,Buddy Boeheim,Marcus Sasser,Stanley Umude,Team Totals,Luke Kennard,Jaren Jackson Jr.,GG Jackson II,Santi Aldama,Scotty Pippen Jr.,Jake LaRavia,Jordan Goodwin,Brandon Clarke,Lamar Stevens,Mãozinha Pereira,Zavier Simpson,Ziaire Williams,Team Totals,,,,,,,,,,
77,20240405,MEM,L,90,108,13,64,L 3,DET,2024,False,96.8,0.456,16.7,22.7,0.228,92.9,96.8,0.522,17.8,34.9,0.156,111.5,Jaden Ivey,Marcus Sasser,Jalen Duren,Tosan Evbuomwan,Troy Brown Jr.,Malachi Flynn,Chimezie Metu,Jared Rhoden,Jaylen Nowell,James Wiseman,Buddy Boeheim,Evan Fournier,Cade Cunningham,Stanley Umude,Jake LaRavia,Trey Jemison,Scotty Pippen Jr.,Jordan Goodwin,GG Jackson II,Zavier Simpson,Mãozinha Pereira,Lamar Stevens,Santi Aldama,Brandon Clarke,Luke Kennard,Ziaire Williams,Team Totals,,,,Team Totals,,,,,,
3,20231029,HOU,W,106,95,2,1,W 2,GSW,2024,False,93.6,0.543,13.3,20.0,0.222,113.2,93.6,0.428,6.6,19.6,0.2,101.5,Stephen Curry,Klay Thompson,Andrew Wiggins,Kevon Looney,Draymond Green,Chris Paul,Dario Šarić,Jonathan Kuminga,Gary Payton II,Moses Moody,Trayce Jackson-Davis,Cory Joseph,Brandin Podziemski,Team Totals,Jalen Green,Jabari Smith Jr.,Dillon Brooks,Alperen Sengun,Fred VanVleet,Jae'Sean Tate,Jeff Green,Amen Thompson,Reggie Bullock,Tari Eason,Aaron Holiday,Boban Marjanović,Jermaine Samuels,Cam Whitmore,Jeenathan Williams,Team Totals,,,,,,,
11,20231112,MIN,L,110,116,6,5,L 3,GSW,2024,False,99.5,0.448,11.4,33.3,0.25,110.6,99.5,0.579,12.8,22.0,0.256,116.6,Stephen Curry,Klay Thompson,Andrew Wiggins,Draymond Green,Kevon Looney,Dario Šarić,Jonathan Kuminga,Chris Paul,Gary Payton II,Moses Moody,Brandin Podziemski,Trayce Jackson-Davis,Cory Joseph,Team Totals,Anthony Edwards,Karl-Anthony Towns,Rudy Gobert,Jaden McDaniels,Mike Conley,Naz Reid,Nickeil Alexander-Walker,Kyle Anderson,Shake Milton,Troy Brown Jr.,Luka Garza,Josh Minott,Daishen Nix,Team Totals,,,,,,,,,
12,20231114,MIN,L,101,104,6,6,L 4,GSW,2024,False,98.5,0.494,17.4,28.3,0.159,102.5,98.5,0.531,18.1,21.4,0.222,105.6,Chris Paul,Dario Šarić,Andrew Wiggins,Draymond Green,Klay Thompson,Brandin Podziemski,Kevon Looney,Jonathan Kuminga,Gary Payton II,Moses Moody,Cory Joseph,Trayce Jackson-Davis,Gui Santos,Team Totals,Karl-Anthony Towns,Anthony Edwards,Rudy Gobert,Mike Conley,Jaden McDaniels,Kyle Anderson,Nickeil Alexander-Walker,Naz Reid,Shake Milton,Troy Brown Jr.,Josh Minott,Daishen Nix,Team Totals,,,,,,,,,,
15,20231120,HOU,W,121,116,7,8,W 1,GSW,2024,False,91.9,0.604,8.0,19.5,0.364,131.6,91.9,0.532,7.2,30.0,0.158,126.2,Stephen Curry,Chris Paul,Klay Thompson,Andrew Wiggins,Kevon Looney,Dario Šarić,Moses Moody,Jonathan Kuminga,Brandin Podziemski,Trayce Jackson-Davis,Draymond Green,Cory Joseph,Gui Santos,Team Totals,Fred VanVleet,Alperen Sengun,Jabari Smith Jr.,Dillon Brooks,Jalen Green,Aaron Holiday,Jae'Sean Tate,Jeff Green,Reggie Bullock,Jock Landale,Nate Hinton,Boban Marjanović,Jermaine Samuels,Cam Whitmore,Team Totals,,,,,,,,
19,20231130,LAC,W,120,114,9,10,W 1,GSW,2024,False,93.0,0.591,8.6,26.3,0.28,129.0,92.0,0.505,5.4,28.8,0.189,123.8,Klay Thompson,Stephen Curry,Draymond Green,Moses Moody,Kevon Looney,Brandin Podziemski,Dario Šarić,Jonathan Kuminga,Cory Joseph,Trayce Jackson-Davis,Lester Quinones,Jerome Robinson,Gui Santos,Team Totals,Paul George,James Harden,Kawhi Leonard,Terance Mann,Ivica Zubac,Russell Westbrook,Norman Powell,Daniel Theis,Kobe Brown,Bones Hyland,Moussa Diabaté,Amir Coffey,Xavier Moon,P.J. Tucker,Team Totals,,,,,,,,
20,20231202,LAC,L,112,113,9,11,L 1,GSW,2024,False,101.8,0.541,13.4,14.6,0.221,110.0,100.8,0.561,10.3,12.2,0.133,112.1,Stephen Curry,Klay Thompson,Draymond Green,Moses Moody,Dario Šarić,Brandin Podziemski,Kevon Looney,Jonathan Kuminga,Cory Joseph,Trayce Jackson-Davis,Jerome Robinson,Team Totals,,,Kawhi Leonard,Paul George,James Harden,Terance Mann,Ivica Zubac,Norman Powell,Daniel Theis,Russell Westbrook,Kobe Brown,Amir Coffey,Moussa Diabaté,Bones Hyland,Xavier Moon,P.J. Tucker,Team Totals,,,,,,,,
24,20231214,LAC,L,113,121,10,14,L 3,GSW,2024,False,93.8,0.522,11.5,34.8,0.185,120.4,93.3,0.586,12.9,27.0,0.321,129.6,Brandin Podziemski,Stephen Curry,Klay Thompson,Kevon Looney,Jonathan Kuminga,Chris Paul,Andrew Wiggins,Dario Šarić,Moses Moody,Trayce Jackson-Davis,Draymond Green,Cory Joseph,Gary Payton II,Team Totals,James Harden,Kawhi Leonard,Ivica Zubac,Amir Coffey,Terance Mann,Norman Powell,Russell Westbrook,Daniel Theis,Kobe Brown,Brandon Boston Jr.,Bones Hyland,Xavier Moon,P.J. Tucker,Team Totals,,,,,,,,,
31,20231228,MIA,L,102,114,15,16,L 2,GSW,2024,False,95.6,0.466,11.6,26.1,0.227,106.6,97.1,0.538,9.0,24.4,0.176,117.3,Stephen Curry,Brandin Podziemski,Klay Thompson,Jonathan Kuminga,Kevon Looney,Chris Paul,Andrew Wiggins,Trayce Jackson-Davis,Dario Šarić,Moses Moody,Cory Joseph,Lester Quinones,Jerome Robinson,Draymond Green,Jaime Jaquez Jr.,Bam Adebayo,Tyler Herro,R.J. Hampton,Haywood Highsmith,Duncan Robinson,Jamal Cain,Nikola Jović,Kevin Love,Cole Swider,Thomas Bryant,Josh Richardson,Team Totals,,,,Team Totals,,,,,,
39,20240113,MIL,L,118,129,18,21,L 1,GSW,2024,False,97.9,0.556,7.1,25.0,0.092,120.5,97.4,0.612,10.6,32.6,0.149,132.5,Brandin Podziemski,Klay Thompson,Dario Šarić,Andrew Wiggins,Kevon Looney,Jonathan Kuminga,Cory Joseph,Trayce Jackson-Davis,Lester Quinones,Usman Garuba,Draymond Green,Jerome Robinson,Team Totals,,Damian Lillard,Giannis Antetokounmpo,Brook Lopez,Khris Middleton,Malik Beasley,Andre Jackson Jr.,Pat Connaughton,Bobby Portis,Chris Livingston,Thanasis Antetokounmpo,MarJon Beauchamp,A.J. Green,Robin Lopez,Cameron Payne,TyTy Washington Jr.,Team Totals,,,,,,,
40,20240115,MEM,L,107,116,18,22,L 2,GSW,2024,False,102.0,0.544,16.8,18.4,0.1,104.9,103.0,0.488,11.1,22.4,0.372,112.6,Klay Thompson,Stephen Curry,Andrew Wiggins,Dario Šarić,Kevon Looney,Jonathan Kuminga,Brandin Podziemski,Draymond Green,Trayce Jackson-Davis,Cory Joseph,Lester Quinones,Jerome Robinson,Team Totals,,Vince Williams Jr.,Jaren Jackson Jr.,Luke Kennard,Xavier Tillman Sr.,Ziaire Williams,GG Jackson II,David Roddy,Jacob Gilyard,Santi Aldama,John Konchar,Jake LaRavia,Derrick Rose,Team Totals,,,,,,,,,,
43,20240127,LAL,L,144,145,19,24,L 2,GSW,2024,False,106.9,0.559,11.9,18.6,0.092,111.5,107.3,0.53,14.3,15.2,0.376,111.8,Klay Thompson,Draymond Green,Stephen Curry,Jonathan Kuminga,Andrew Wiggins,Brandin Podziemski,Dario Šarić,Cory Joseph,Trayce Jackson-Davis,Kevon Looney,Lester Quinones,Gui Santos,Team Totals,,D'Angelo Russell,LeBron James,Austin Reaves,Anthony Davis,Taurean Prince,Jarred Vanderbilt,Rui Hachimura,Christian Wood,Max Christie,Jaxson Hayes,Jalen Hood-Schifino,Maxwell Lewis,Team Totals,,,,,,,,,,
45,20240202,MEM,W,121,101,21,24,W 2,GSW,2024,False,99.1,0.62,13.1,17.6,0.217,122.1,99.6,0.483,12.5,18.4,0.195,101.4,Jonathan Kuminga,Stephen Curry,Andrew Wiggins,Draymond Green,Klay Thompson,Brandin Podziemski,Lester Quinones,Kevon Looney,Gui Santos,Trayce Jackson-Davis,Jerome Robinson,Cory Joseph,Team Totals,,Jacob Gilyard,Vince Williams Jr.,Jaren Jackson Jr.,John Konchar,Santi Aldama,David Roddy,Luke Kennard,Tosan Evbuomwan,GG Jackson II,Derrick Rose,Matthew Hurt,Trey Jemison,Team Totals,,,,,,,,,,
49,20240208,IND,W,131,109,24,25,W 3,GSW,2024,False,100.4,0.651,14.7,30.3,0.108,130.4,100.4,0.556,13.1,15.2,0.235,108.5,Brandin Podziemski,Jonathan Kuminga,Stephen Curry,Draymond Green,Andrew Wiggins,Lester Quinones,Gui Santos,Dario Šarić,Moses Moody,Kevon Looney,Trayce Jackson-Davis,Jerome Robinson,Team Totals,,Pascal Siakam,Aaron Nesmith,Tyrese Haliburton,Andrew Nembhard,Myles Turner,Bennedict Mathurin,T.J. McConnell,Ben Sheppard,Obi Toppin,Jalen Smith,Isaiah Jackson,Team Totals,,,,,,,,,,,
52,20240214,LAC,L,125,130,26,26,L 1,GSW,2024,False,102.9,0.544,7.5,26.5,0.126,121.5,102.9,0.574,10.3,26.1,0.33,126.3,Jonathan Kuminga,Stephen Curry,Draymond Green,Andrew Wiggins,Klay Thompson,Brandin Podziemski,Gary Payton II,Kevon Looney,Moses Moody,Lester Quinones,Dario Šarić,Trayce Jackson-Davis,Jerome Robinson,Gui Santos,James Harden,Paul George,Ivica Zubac,Terance Mann,Amir Coffey,Russell Westbrook,Norman Powell,Mason Plumlee,Brandon Boston Jr.,Kobe Brown,Moussa Diabaté,Jordan Miller,Xavier Moon,Joshua Primo,Daniel Theis,Team Totals,Team Totals,,,,,,
54,20240222,LAL,W,128,110,28,26,W 2,GSW,2024,False,99.0,0.542,7.4,32.6,0.112,129.3,99.0,0.545,10.2,23.3,0.159,111.2,Stephen Curry,Brandin Podziemski,Andrew Wiggins,Jonathan Kuminga,Draymond Green,Klay Thompson,Moses Moody,Dario Šarić,Trayce Jackson-Davis,Lester Quinones,Kevon Looney,Jerome Robinson,Gui Santos,Team Totals,D'Angelo Russell,Anthony Davis,Rui Hachimura,Taurean Prince,Austin Reaves,Max Christie,Jaxson Hayes,Spencer Dinwiddie,Jalen Hood-Schifino,Skylar Mays,Dylan Windler,Colin Castleton,Team Totals,,,,,,,,,,
61,20240306,MIL,W,125,90,33,28,W 1,GSW,2024,False,101.7,0.665,14.5,21.1,0.044,122.9,100.7,0.444,13.6,12.5,0.124,89.4,Stephen Curry,Brandin Podziemski,Draymond Green,Jonathan Kuminga,Andrew Wiggins,Klay Thompson,Moses Moody,Chris Paul,Trayce Jackson-Davis,Gary Payton II,Kevon Looney,Lester Quinones,Jerome Robinson,Gui Santos,Damian Lillard,Giannis Antetokounmpo,Malik Beasley,Brook Lopez,Jae Crowder,Bobby Portis,Pat Connaughton,Patrick Beverley,A.J. Green,Danilo Gallinari,MarJon Beauchamp,Andre Jackson Jr.,Thanasis Antetokounmpo,Team Totals,,,Dario Šarić,Team Totals,,,,,
66,20240316,LAL,W,128,121,35,31,W 1,GSW,2024,False,96.5,0.598,6.3,31.1,0.124,132.6,97.0,0.576,9.1,20.5,0.163,124.7,Brandin Podziemski,Draymond Green,Stephen Curry,Jonathan Kuminga,Andrew Wiggins,Klay Thompson,Trayce Jackson-Davis,Chris Paul,Gary Payton II,Kevon Looney,Moses Moody,Lester Quinones,Jerome Robinson,Dario Šarić,D'Angelo Russell,LeBron James,Austin Reaves,Rui Hachimura,Anthony Davis,Taurean Prince,Jaxson Hayes,Spencer Dinwiddie,Max Christie,Harry Giles,Maxwell Lewis,Skylar Mays,Team Totals,,,,Team Totals,,,,,,
68,20240320,MEM,W,137,116,36,32,W 1,GSW,2024,False,95.3,0.675,6.4,31.0,0.02,143.8,95.8,0.531,10.4,31.4,0.146,121.1,Andrew Wiggins,Jonathan Kuminga,Draymond Green,Stephen Curry,Brandin Podziemski,Trayce Jackson-Davis,Klay Thompson,Chris Paul,Gary Payton II,Kevon Looney,Dario Šarić,Moses Moody,Lester Quinones,Gui Santos,GG Jackson II,Santi Aldama,John Konchar,Jaren Jackson Jr.,Desmond Bane,Jake LaRavia,Trey Jemison,DeJon Jarreau,Mãozinha Pereira,Lamar Stevens,Vince Williams Jr.,Ziaire Williams,Team Totals,,,,Pat Spencer,Team Totals,,,,,
69,20240322,IND,L,111,123,36,33,L 1,GSW,2024,False,102.1,0.472,11.0,38.7,0.104,108.8,102.1,0.561,9.4,23.1,0.121,120.5,Stephen Curry,Draymond Green,Jonathan Kuminga,Brandin Podziemski,Andrew Wiggins,Klay Thompson,Trayce Jackson-Davis,Chris Paul,Gary Payton II,Moses Moody,Kevon Looney,Lester Quinones,Jerome Robinson,Dario Šarić,Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Pascal Siakam,Myles Turner,Jalen Smith,T.J. McConnell,Obi Toppin,Ben Sheppard,Doug McDermott,Kendall Brown,Isaiah Jackson,Jarace Walker,Team Totals,,,Team Totals,,,,,,
70,20240324,MIN,L,110,114,36,34,L 2,GSW,2024,False,99.3,0.529,11.9,15.9,0.235,110.8,99.3,0.601,14.8,17.1,0.155,114.8,Draymond Green,Jonathan Kuminga,Stephen Curry,Andrew Wiggins,Brandin Podziemski,Klay Thompson,Trayce Jackson-Davis,Gary Payton II,Chris Paul,Kevon Looney,Moses Moody,Lester Quinones,Gui Santos,Dario Šarić,Anthony Edwards,Rudy Gobert,Mike Conley,Jaden McDaniels,Naz Reid,Kyle Anderson,Nickeil Alexander-Walker,Monte Morris,Jordan McLaughlin,Luka Garza,Leonard Miller,Josh Minott,Wendell Moore Jr.,T.J. Warren,Team Totals,,Team Totals,,,,,,
71,20240326,MIA,W,113,92,37,34,W 1,GSW,2024,False,92.1,0.629,11.8,20.0,0.071,122.6,91.6,0.446,8.4,23.4,0.109,100.4,Jonathan Kuminga,Stephen Curry,Klay Thompson,Andrew Wiggins,Draymond Green,Chris Paul,Brandin Podziemski,Kevon Looney,Gary Payton II,Moses Moody,Gui Santos,Lester Quinones,Jerome Robinson,Dario Šarić,Bam Adebayo,Terry Rozier,Nikola Jović,Jaime Jaquez Jr.,Patty Mills,Caleb Martin,Haywood Highsmith,Delon Wright,Thomas Bryant,Alondes Williams,Jamal Cain,Orlando Robinson,Cole Swider,Team Totals,,,Team Totals,,,,,,
76,20240404,HOU,W,133,110,42,34,W 6,GSW,2024,False,95.7,0.694,18.8,41.4,0.275,138.9,94.2,0.488,10.8,27.9,0.302,116.7,Stephen Curry,Klay Thompson,Draymond Green,Trayce Jackson-Davis,Andrew Wiggins,Brandin Podziemski,Moses Moody,Chris Paul,Gary Payton II,Kevon Looney,Lester Quinones,Jerome Robinson,Team Totals,,Fred VanVleet,Jabari Smith Jr.,Jalen Green,Amen Thompson,Dillon Brooks,Cam Whitmore,Aaron Holiday,Jeff Green,Jock Landale,Reggie Bullock,Jeenathan Williams,Boban Marjanović,Jae'Sean Tate,Team Totals,,,,,,,,,
79,20240409,LAL,W,134,120,44,35,W 2,GSW,2024,False,100.1,0.75,14.4,11.8,0.175,133.8,100.6,0.521,7.0,20.8,0.208,119.3,Klay Thompson,Stephen Curry,Draymond Green,Andrew Wiggins,Trayce Jackson-Davis,Chris Paul,Jonathan Kuminga,Brandin Podziemski,Gary Payton II,Lester Quinones,Gui Santos,Usman Garuba,Moses Moody,Pat Spencer,D'Angelo Russell,LeBron James,Austin Reaves,Rui Hachimura,Jaxson Hayes,Spencer Dinwiddie,Taurean Prince,Gabe Vincent,Cam Reddish,Colin Castleton,Max Christie,Maxwell Lewis,Skylar Mays,Anthony Davis,Team Totals,,Kevon Looney,Team Totals,,,,,
7,20231108,LAL,W,128,94,4,3,W 4,HOU,2024,False,98.6,0.624,11.4,32.6,0.129,129.9,97.6,0.465,8.6,10.4,0.176,96.4,Fred VanVleet,Jabari Smith Jr.,Alperen Sengun,Dillon Brooks,Jalen Green,Jae'Sean Tate,Aaron Holiday,Tari Eason,Reggie Bullock,Jock Landale,Jeff Green,Jeenathan Williams,Boban Marjanović,Team Totals,D'Angelo Russell,LeBron James,Taurean Prince,Austin Reaves,Christian Wood,Max Christie,Rui Hachimura,Cam Reddish,Colin Castleton,D'Moi Hodge,Maxwell Lewis,Anthony Davis,Team Totals,,,,,,,,,,
10,20231117,LAC,L,100,106,6,4,L 1,HOU,2024,False,99.0,0.489,14.9,23.5,0.159,101.0,99.5,0.512,12.7,18.6,0.253,106.5,Fred VanVleet,Alperen Sengun,Jalen Green,Jabari Smith Jr.,Dillon Brooks,Tari Eason,Aaron Holiday,Jeff Green,Jae'Sean Tate,Jock Landale,Reggie Bullock,Nate Hinton,Boban Marjanović,Jermaine Samuels,Paul George,Kawhi Leonard,Ivica Zubac,James Harden,Terance Mann,Norman Powell,Russell Westbrook,P.J. Tucker,Daniel Theis,Amir Coffey,Moussa Diabaté,Bones Hyland,Team Totals,,,,Cam Whitmore,Team Totals,,,,,
11,20231119,LAL,L,104,105,6,5,L 2,HOU,2024,False,99.0,0.571,16.9,15.8,0.095,105.1,99.5,0.506,15.8,26.3,0.253,105.6,Dillon Brooks,Fred VanVleet,Jabari Smith Jr.,Jalen Green,Alperen Sengun,Tari Eason,Jae'Sean Tate,Aaron Holiday,Jeff Green,Jock Landale,Reggie Bullock,Nate Hinton,Boban Marjanović,Jermaine Samuels,LeBron James,Cam Reddish,Anthony Davis,D'Angelo Russell,Taurean Prince,Rui Hachimura,Austin Reaves,Christian Wood,Jaxson Hayes,Max Christie,Jalen Hood-Schifino,Jarred Vanderbilt,Team Totals,,,,Cam Whitmore,Team Totals,,,,,
13,20231122,MEM,W,111,91,7,6,W 1,HOU,2024,False,97.0,0.511,6.5,14.0,0.185,114.4,96.5,0.372,8.5,17.3,0.366,94.3,Fred VanVleet,Alperen Sengun,Jalen Green,Jabari Smith Jr.,Dillon Brooks,Jae'Sean Tate,Tari Eason,Aaron Holiday,Jeff Green,Jock Landale,Reggie Bullock,Jeenathan Williams,Boban Marjanović,Team Totals,Jaren Jackson Jr.,Bismack Biyombo,Desmond Bane,Jacob Gilyard,Santi Aldama,John Konchar,David Roddy,Ziaire Williams,Derrick Rose,Kenneth Lofton Jr.,GG Jackson II,Vince Williams Jr.,Team Totals,,,,,,,,,,
17,20231202,LAL,L,97,107,8,9,L 3,HOU,2024,False,100.2,0.466,14.9,22.0,0.157,96.8,101.2,0.494,10.6,17.3,0.213,105.7,Fred VanVleet,Alperen Sengun,Dillon Brooks,Jalen Green,Jabari Smith Jr.,Tari Eason,Jae'Sean Tate,Aaron Holiday,Jeff Green,Cam Whitmore,Nate Hinton,Jock Landale,Jermaine Samuels,Reggie Bullock,Anthony Davis,LeBron James,Taurean Prince,D'Angelo Russell,Cam Reddish,Max Christie,Austin Reaves,Jarred Vanderbilt,Christian Wood,Jaxson Hayes,Jalen Hood-Schifino,Maxwell Lewis,Rui Hachimura,Team Totals,,,Boban Marjanović,Team Totals,,,,,
21,20231213,MEM,W,117,104,12,9,W 4,HOU,2024,False,102.9,0.523,15.7,30.6,0.314,113.7,102.9,0.488,10.2,10.4,0.293,101.1,Fred VanVleet,Jabari Smith Jr.,Dillon Brooks,Alperen Sengun,Jalen Green,Tari Eason,Jae'Sean Tate,Aaron Holiday,Jeff Green,Jock Landale,Reggie Bullock,Boban Marjanović,Jeenathan Williams,Team Totals,Jaren Jackson Jr.,David Roddy,Derrick Rose,Vince Williams Jr.,Bismack Biyombo,Ziaire Williams,Santi Aldama,Jake LaRavia,Jacob Gilyard,Jaylen Nowell,John Konchar,Kenneth Lofton Jr.,Xavier Tillman Sr.,Team Totals,,,,,,,,,
22,20231215,MEM,W,103,96,13,9,W 5,HOU,2024,False,96.6,0.426,9.7,30.0,0.318,106.6,97.1,0.462,15.4,26.5,0.12,98.9,Dillon Brooks,Fred VanVleet,Alperen Sengun,Jabari Smith Jr.,Jalen Green,Tari Eason,Aaron Holiday,Jeff Green,Jock Landale,Reggie Bullock,Boban Marjanović,Jeenathan Williams,Team Totals,,Desmond Bane,Bismack Biyombo,Jaren Jackson Jr.,Vince Williams Jr.,Derrick Rose,David Roddy,Santi Aldama,Jacob Gilyard,Ziaire Williams,Jake LaRavia,John Konchar,Kenneth Lofton Jr.,Xavier Tillman Sr.,Team Totals,,,,,,,,,
23,20231217,MIL,L,119,128,13,10,L 1,HOU,2024,False,97.6,0.594,9.6,16.7,0.212,121.9,98.1,0.572,14.0,39.0,0.278,130.4,Fred VanVleet,Dillon Brooks,Alperen Sengun,Jalen Green,Jabari Smith Jr.,Tari Eason,Jae'Sean Tate,Jeff Green,Aaron Holiday,Reggie Bullock,Jock Landale,Boban Marjanović,Jeenathan Williams,Team Totals,Giannis Antetokounmpo,Damian Lillard,Andre Jackson Jr.,Brook Lopez,Khris Middleton,Bobby Portis,Pat Connaughton,MarJon Beauchamp,Cameron Payne,Thanasis Antetokounmpo,Marques Bolden,A.J. Green,Chris Livingston,Lindell Wigginton,Robin Lopez,Team Totals,,,,,,,
28,20231226,IND,L,117,123,15,13,L 1,HOU,2024,False,100.2,0.51,9.3,30.0,0.186,116.7,99.7,0.64,18.0,25.6,0.22,123.3,Fred VanVleet,Alperen Sengun,Jabari Smith Jr.,Dillon Brooks,Jalen Green,Tari Eason,Aaron Holiday,Jae'Sean Tate,Amen Thompson,Jeff Green,Reggie Bullock,Nate Hinton,Jock Landale,Boban Marjanović,Tyrese Haliburton,Andrew Nembhard,Aaron Nesmith,Myles Turner,Jalen Smith,Buddy Hield,Bennedict Mathurin,Isaiah Jackson,Obi Toppin,James Johnson,T.J. McConnell,Jordan Nwora,Ben Sheppard,Jarace Walker,Team Totals,,Cam Whitmore,Team Totals,,,,,
33,20240105,MIN,L,95,122,17,16,L 1,HOU,2024,False,101.4,0.467,13.4,14.0,0.122,93.7,101.4,0.602,12.6,22.5,0.182,120.3,Alperen Sengun,Jabari Smith Jr.,Fred VanVleet,Jalen Green,Jae'Sean Tate,Jeff Green,Amen Thompson,Aaron Holiday,Cam Whitmore,Reggie Bullock,Jock Landale,Boban Marjanović,Team Totals,,Rudy Gobert,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,Mike Conley,Naz Reid,Kyle Anderson,Nickeil Alexander-Walker,Jordan McLaughlin,Troy Brown Jr.,Luka Garza,Shake Milton,Josh Minott,Wendell Moore Jr.,Leonard Miller,Team Totals,,,,,,,
34,20240106,MIL,W,112,108,18,16,W 1,HOU,2024,False,98.8,0.512,9.3,15.9,0.325,113.4,98.8,0.52,10.4,9.3,0.382,109.4,Jabari Smith Jr.,Fred VanVleet,Alperen Sengun,Jalen Green,Jae'Sean Tate,Jeff Green,Aaron Holiday,Amen Thompson,Cam Whitmore,Reggie Bullock,Jock Landale,Boban Marjanović,Team Totals,,Giannis Antetokounmpo,Damian Lillard,Khris Middleton,Brook Lopez,Malik Beasley,MarJon Beauchamp,Pat Connaughton,Bobby Portis,Andre Jackson Jr.,Cameron Payne,A.J. Green,Thanasis Antetokounmpo,Robin Lopez,Team Totals,,,,,,,,,
35,20240108,MIA,L,113,120,18,17,L 1,HOU,2024,False,96.0,0.5,10.7,25.5,0.284,117.6,96.0,0.591,10.3,25.0,0.28,124.9,Fred VanVleet,Jae'Sean Tate,Alperen Sengun,Jabari Smith Jr.,Jalen Green,Aaron Holiday,Jeff Green,Cam Whitmore,Amen Thompson,Reggie Bullock,Jock Landale,Boban Marjanović,Victor Oladipo,Team Totals,Jaime Jaquez Jr.,Tyler Herro,Bam Adebayo,Nikola Jović,Kyle Lowry,Duncan Robinson,Josh Richardson,Kevin Love,Haywood Highsmith,Thomas Bryant,Jamal Cain,Orlando Robinson,Team Totals,,,,,,,,,,
46,20240129,LAL,W,135,119,22,24,W 1,HOU,2024,False,108.4,0.592,12.1,31.1,0.194,124.5,108.4,0.566,10.5,8.7,0.176,109.8,Jalen Green,Alperen Sengun,Fred VanVleet,Jabari Smith Jr.,Dillon Brooks,Jae'Sean Tate,Cam Whitmore,Amen Thompson,Jeff Green,Nate Hinton,Jermaine Samuels,Reggie Bullock,Aaron Holiday,Jock Landale,D'Angelo Russell,LeBron James,Austin Reaves,Anthony Davis,Taurean Prince,Rui Hachimura,Max Christie,Jaxson Hayes,Christian Wood,Jarred Vanderbilt,Jalen Hood-Schifino,Maxwell Lewis,Team Totals,,,,Boban Marjanović,Team Totals,,,,,
49,20240204,MIN,L,90,111,23,26,L 1,HOU,2024,False,100.4,0.409,9.9,17.5,0.205,89.6,100.9,0.506,13.6,26.2,0.222,110.0,Fred VanVleet,Alperen Sengun,Jalen Green,Dillon Brooks,Jabari Smith Jr.,Amen Thompson,Cam Whitmore,Jeff Green,Aaron Holiday,Jae'Sean Tate,Jock Landale,Reggie Bullock,Nate Hinton,Jermaine Samuels,Anthony Edwards,Rudy Gobert,Jaden McDaniels,Karl-Anthony Towns,Mike Conley,Naz Reid,Nickeil Alexander-Walker,Jordan McLaughlin,Kyle Anderson,Luka Garza,Wendell Moore Jr.,Troy Brown Jr.,Shake Milton,Team Totals,,,Boban Marjanović,Team Totals,,,,,
50,20240206,IND,L,129,132,23,27,L 2,HOU,2024,False,97.2,0.577,12.3,50.0,0.175,132.7,97.2,0.715,11.5,15.2,0.105,135.8,Jabari Smith Jr.,Alperen Sengun,Amen Thompson,Jalen Green,Dillon Brooks,Cam Whitmore,Aaron Holiday,Jae'Sean Tate,Jeff Green,Reggie Bullock,Nate Hinton,Jock Landale,Boban Marjanović,Jermaine Samuels,Pascal Siakam,Aaron Nesmith,Andrew Nembhard,Tyrese Haliburton,Myles Turner,Buddy Hield,T.J. McConnell,Jalen Smith,Obi Toppin,Ben Sheppard,Isaiah Jackson,Kendall Brown,James Johnson,Oscar Tshiebwe,Jarace Walker,Team Totals,Team Totals,,,,,,
