G,Date,Opponent,Unnamed: 7,Tm,Opp,W,L,Streak,Team,Year,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Team_Player1_Starters,Team_Player2_Starters,Team_Player3_Starters,Team_Player4_Starters,Team_Player5_Starters,Team_Player6_Starters,Team_Player7_Starters,Team_Player8_Starters,Team_Player9_Starters,Team_Player10_Starters,Team_Player11_Starters,Team_Player12_Starters,Team_Player13_Starters,Team_Player14_Starters,Opponent_Player1_Starters,Opponent_Player2_Starters,Opponent_Player3_Starters,Opponent_Player4_Starters,Opponent_Player5_Starters,Opponent_Player6_Starters,Opponent_Player7_Starters,Opponent_Player8_Starters,Opponent_Player9_Starters,Opponent_Player10_Starters,Opponent_Player11_Starters,Opponent_Player12_Starters,Opponent_Player13_Starters,Opponent_Player14_Starters,Opponent_Player15_Starters,Opponent_Player16_Starters,Team_Player15_Starters,Team_Player16_Starters,Opponent_Player17_Starters,Opponent_Player18_Starters,Team_Player17_Starters,Team_Player18_Starters,Team_Player19_Starters
16,20211117,CLE,W,109,99,11,5,W 1,BRK,2022,False,97.2,0.53,11.3,17.4,0.253,112.1,97.2,0.455,12.5,23.5,0.202,101.8,Kevin Durant,James Harden,Patty Mills,Bruce Brown,Blake Griffin,LaMarcus Aldridge,James Johnson,DeAndre' Bembry,Jevon Carter,Kessler Edwards,Day'Ron Sharpe,Cam Thomas,Team Totals,,Darius Garland,Isaac Okoro,Dean Wade,Ricky Rubio,Ed Davis,Kevin Love,Cedi Osman,Dylan Windler,Denzel Valentine,Tacko Fall,RJ Nembhard Jr.,Kevin Pangos,Team Totals,,,,,,,,,,
18,20211122,CLE,W,117,112,13,5,W 3,BRK,2022,False,102.5,0.532,8.9,17.0,0.168,114.2,102.5,0.462,12.4,29.2,0.28,109.3,Kevin Durant,James Harden,Patty Mills,DeAndre' Bembry,Blake Griffin,LaMarcus Aldridge,James Johnson,Cam Thomas,Paul Millsap,Jevon Carter,Kessler Edwards,Day'Ron Sharpe,Team Totals,,Darius Garland,Jarrett Allen,Isaac Okoro,Dean Wade,Lauri Markkanen,Ricky Rubio,Kevin Love,Ed Davis,Dylan Windler,Tacko Fall,RJ Nembhard Jr.,Kevin Pangos,Denzel Valentine,Team Totals,,,,,,,,,
22,20211203,MIN,W,110,105,16,6,W 2,BRK,2022,False,101.0,0.513,15.3,20.0,0.421,109.0,101.0,0.457,14.8,32.0,0.215,104.0,Kevin Durant,James Harden,Patty Mills,LaMarcus Aldridge,DeAndre' Bembry,James Johnson,Cam Thomas,Paul Millsap,Bruce Brown,Jevon Carter,Nic Claxton,Blake Griffin,Team Totals,,Anthony Edwards,Naz Reid,D'Angelo Russell,Jarred Vanderbilt,Taurean Prince,Malik Beasley,Leandro Bolmaro,Josh Okogie,Nathan Knight,Jake Layman,Jordan McLaughlin,Jaylen Nowell,Karl-Anthony Towns,Team Totals,,,,,,,,,
23,20211204,CHI,L,107,111,16,7,L 1,BRK,2022,False,100.6,0.45,5.7,27.3,0.063,106.3,100.6,0.535,8.4,14.9,0.221,110.3,James Harden,Kevin Durant,Patty Mills,LaMarcus Aldridge,DeAndre' Bembry,Bruce Brown,Cam Thomas,Paul Millsap,Jevon Carter,Nic Claxton,Blake Griffin,James Johnson,Team Totals,,Lonzo Ball,DeMar DeRozan,Zach LaVine,Nikola Vučević,Alex Caruso,Derrick Jones Jr.,Ayo Dosunmu,Troy Brown Jr.,Alize Johnson,Tony Bradley,Tyler Cook,Devon Dotson,Marko Simonovic,Matt Thomas,Team Totals,,,,,,,,
24,20211207,DAL,W,102,99,17,7,W 1,BRK,2022,False,91.2,0.554,11.9,21.6,0.12,111.8,91.2,0.45,3.9,19.2,0.2,108.6,James Harden,Kevin Durant,Patty Mills,LaMarcus Aldridge,DeAndre' Bembry,James Johnson,Nic Claxton,Cam Thomas,Bruce Brown,Jevon Carter,Paul Millsap,David Duke Jr.,Blake Griffin,Team Totals,Dorian Finney-Smith,Luka Dončić,Kristaps Porziņģis,Reggie Bullock,Dwight Powell,Tim Hardaway Jr.,Jalen Brunson,Maxi Kleber,Frank Ntilikina,Josh Green,Moses Brown,Trey Burke,Boban Marjanović,Eugene Omoruyi,Team Totals,,,,,,,,
25,20211208,HOU,L,104,114,17,8,L 1,BRK,2022,False,96.0,0.438,11.2,32.6,0.292,108.3,96.0,0.58,13.0,23.1,0.247,118.7,James Harden,Patty Mills,James Johnson,DeAndre' Bembry,Nic Claxton,Cam Thomas,David Duke Jr.,Bruce Brown,Paul Millsap,Blake Griffin,Jevon Carter,Team Totals,,,Garrison Mathews,Christian Wood,Armoni Brooks,Eric Gordon,Jae'Sean Tate,Josh Christopher,KJ Martin,D.J. Augustin,Alperen Sengun,David Nwaba,Daniel Theis,Team Totals,,,,,,,,,,,
27,20211212,DET,W,116,104,19,8,W 2,BRK,2022,False,107.4,0.534,15.5,20.0,0.264,108.0,107.4,0.5,17.4,18.6,0.13,96.8,Kevin Durant,Patty Mills,LaMarcus Aldridge,James Johnson,DeAndre' Bembry,Cam Thomas,Nic Claxton,Bruce Brown,Blake Griffin,David Duke Jr.,Jevon Carter,Team Totals,,,Isaiah Stewart,Cade Cunningham,Saddiq Bey,Killian Hayes,Hamidou Diallo,Frank Jackson,Saben Lee,Rodney McGruder,Josh Jackson,Trey Lyles,Luka Garza,Cory Joseph,Jamorko Pickett,Team Totals,,,,,,,,,
31,20211225,LAL,W,122,115,22,9,W 1,BRK,2022,False,105.2,0.562,10.6,14.6,0.247,115.9,105.2,0.469,11.4,25.5,0.26,109.3,James Harden,Bruce Brown,Patty Mills,Nic Claxton,DeAndre' Bembry,James Johnson,Langston Galloway,Jevon Carter,Blake Griffin,Paul Millsap,James Ennis III,Wenyen Gabriel,Shaquille Harrison,Team Totals,LeBron James,Russell Westbrook,Talen Horton-Tucker,Wayne Ellington,Dwight Howard,Carmelo Anthony,Malik Monk,Stanley Johnson,Darren Collison,Jay Huff,Jemerrio Jones,Mason Jones,DeAndre Jordan,Rajon Rondo,Isaiah Thomas,Team Totals,,,,,,,
32,20211227,LAC,W,124,108,23,9,W 2,BRK,2022,False,101.0,0.642,13.6,20.0,0.125,122.8,101.0,0.454,9.9,29.8,0.206,107.0,James Harden,Patty Mills,Nic Claxton,DeAndre' Bembry,Bruce Brown,James Johnson,Blake Griffin,Langston Galloway,Jevon Carter,Paul Millsap,James Ennis III,Wenyen Gabriel,Shaquille Harrison,Team Totals,Eric Bledsoe,Marcus Morris,Terance Mann,Luke Kennard,Ivica Zubac,Brandon Boston Jr.,Amir Coffey,Keon Johnson,Justise Winslow,Serge Ibaka,Xavier Moon,Moses Wright,Team Totals,,,,,,,,,,
34,20220101,LAC,L,116,120,23,11,L 2,BRK,2022,False,102.2,0.49,12.2,34.0,0.216,113.5,102.2,0.57,9.9,14.9,0.256,117.4,James Harden,Kevin Durant,Patty Mills,Bruce Brown,LaMarcus Aldridge,James Johnson,DeAndre' Bembry,Nic Claxton,Blake Griffin,Jevon Carter,David Duke Jr.,Kessler Edwards,Paul Millsap,Day'Ron Sharpe,Terance Mann,Reggie Jackson,Amir Coffey,Eric Bledsoe,Serge Ibaka,Justise Winslow,Xavier Moon,James Ennis III,Keon Johnson,Wenyen Gabriel,Marcus Morris,Team Totals,,,,,Cam Thomas,Team Totals,,,,,
