Date,Opponent,Resultado,Tm,Opp,W,L,Streak,Team,Is_Playoffs,Previous_Team_Pace,Previous_Team_eFG%,Previous_Team_TOV%,Previous_Team_ORB%,Previous_Team_FT/FGA,Previous_Team_ORtg,Previous_Opponent_Pace,Previous_Opponent_eFG%,Previous_Opponent_TOV%,Previous_Opponent_ORB%,Previous_Opponent_FT/FGA,Previous_Opponent_ORtg,GmSc_Starters_Team,GmSc_Starters_Opp,GmSc_Bench_Team,GmSc_Bench_Opp
20240507,CLE,W,120,95,4,1,-1,BOS,True,90.33,0.56,10.37,24.77,0.2,119.6,98.77,0.54,13.9,22.87,0.24,113.93,13.64,12.71,5.61,4.72
20240507,DAL,W,117,95,4,0,5,OKC,True,105.5,0.59,10.57,20.17,0.17,122.7,90.83,0.51,12.23,27.83,0.22,113.8,15.07,13.61,2.83,3.31
20240506,IND,W,121,117,4,2,-2,NYK,True,90.97,0.51,10.8,28.77,0.19,114.17,92.77,0.54,10.07,25.33,0.18,117.3,14.62,12.3,2.58,4.1
20240506,MIN,L,80,106,4,2,-1,DEN,True,95.53,0.54,12.7,16.7,0.18,110.03,,,,,,,15.43,13.95,1.37,2.16
20240505,CLE,L,94,106,3,3,1,ORL,True,94.67,0.54,14.33,24.63,0.24,112.0,98.77,0.54,13.9,22.87,0.24,113.93,11.55,11.43,2.97,4.34
20240504,MIN,L,99,106,4,1,3,DEN,True,96.6,0.53,12.37,24.67,0.18,113.37,,,,,,,16.73,16.21,1.07,2.28
20240503,CLE,W,103,96,2,3,-1,ORL,True,94.07,0.58,13.03,25.13,0.21,119.17,98.77,0.54,13.9,22.87,0.24,113.93,13.77,9.15,2.35,3.87
20240503,LAC,W,114,101,3,2,1,DAL,True,91.33,0.56,11.27,28.1,0.19,122.13,95.07,0.58,9.4,25.47,0.22,124.6,12.7,10.19,3.91,5.15
20240502,MIL,W,120,98,3,2,-1,IND,True,91.47,0.55,9.03,24.37,0.14,119.03,97.33,0.55,8.9,25.3,0.17,120.97,13.79,16.83,3.01,3.52
20240502,PHI,W,118,115,3,2,-1,NYK,True,91.37,0.52,10.93,24.83,0.17,112.07,95.9,0.48,12.93,21.13,0.18,101.83,13.07,15.92,2.58,2.84
20240501,LAC,W,123,93,2,2,-1,DAL,True,90.17,0.53,12.67,28.93,0.22,113.77,95.07,0.58,9.4,25.47,0.22,124.6,12.77,10.79,2.96,6.68
20240501,MIA,W,118,84,3,1,2,BOS,True,89.6,0.53,9.8,21.9,0.19,114.47,98.33,0.56,12.77,20.63,0.2,115.33,13.5,11.9,5.94,4.9
20240430,MIL,L,92,115,3,1,3,IND,True,93.0,0.59,6.67,22.57,0.14,129.13,97.33,0.55,8.9,25.3,0.17,120.97,17.69,11.62,3.88,2.85
20240430,CLE,L,103,104,2,2,2,ORL,True,92.87,0.55,13.8,27.33,0.19,114.43,98.77,0.54,13.9,22.87,0.24,113.93,11.21,7.12,2.9,4.35
20240430,PHI,L,106,112,3,1,1,NYK,True,91.27,0.5,8.9,28.53,0.18,115.07,95.9,0.48,12.93,21.13,0.18,101.83,13.75,15.62,2.62,2.75
20240429,MIA,W,102,88,2,1,1,BOS,True,87.83,0.56,9.97,22.3,0.18,121.33,98.33,0.56,12.77,20.63,0.2,115.33,14.14,10.92,7.45,5.99
20240429,LAL,W,108,106,3,1,-1,DEN,True,96.47,0.5,10.87,23.93,0.21,111.03,102.47,0.57,12.57,30.03,0.15,120.7,16.6,15.31,1.01,2.93
20240429,OKC,L,89,97,0,3,-3,NOP,True,93.0,0.46,16.4,25.23,0.16,96.53,105.83,0.44,14.13,16.07,0.15,89.47,9.76,13.77,1.56,3.46
20240428,PHI,W,97,92,2,1,-1,NYK,True,90.1,0.5,8.7,34.4,0.2,121.77,95.9,0.48,12.93,21.13,0.18,101.83,13.23,16.08,3.27,3.32
