G,Date,Opponent,Unnamed: 7,Tm,Opp,W,L,Streak,Team,Year,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Team_Player1_Starters,Team_Player2_Starters,Team_Player3_Starters,Team_Player4_Starters,Team_Player5_Starters,Team_Player6_Starters,Team_Player7_Starters,Team_Player8_Starters,Team_Player9_Starters,Team_Player10_Starters,Team_Player11_Starters,Team_Player12_Starters,Team_Player13_Starters,Team_Player14_Starters,Team_Player15_Starters,Team_Player16_Starters,Opponent_Player1_Starters,Opponent_Player2_Starters,Opponent_Player3_Starters,Opponent_Player4_Starters,Opponent_Player5_Starters,Opponent_Player6_Starters,Opponent_Player7_Starters,Opponent_Player8_Starters,Opponent_Player9_Starters,Opponent_Player10_Starters,Opponent_Player11_Starters,Opponent_Player12_Starters,Opponent_Player13_Starters,Opponent_Player14_Starters,Opponent_Player15_Starters,Opponent_Player16_Starters
11,20231115,PHI,W,117,107,9,2,W 4,BOS,2024,False,91.6,.580,9.4,27.9,.170,127.7,91.1,.524,8.7,23.3,.212,117.4,Jayson Tatum,Derrick White,Jrue Holiday,Sam Hauser,Al Horford,Payton Pritchard,Luke Kornet,Svi Mykhailiuk,Dalano Banton,Oshae Brissett,Neemias Queta,Lamar Stevens,Team Totals,,,,Tyrese Maxey,Tobias Harris,Robert Covington,De'Anthony Melton,Joel Embiid,Jaden Springer,Paul Reed,Patrick Beverley,Marcus Morris,Danuel House Jr.,Furkan Korkmaz,Mo Bamba,KJ Martin,Team Totals,,
12,20231117,TOR,W,108,105,10,2,W 5,BOS,2024,False,98.3,.543,10.3,18.2,.087,109.9,97.8,.552,12.2,12.2,.103,107.4,Jayson Tatum,Jaylen Brown,Kristaps Porziņģis,Jrue Holiday,Derrick White,Al Horford,Sam Hauser,Payton Pritchard,Dalano Banton,Oshae Brissett,Luke Kornet,Svi Mykhailiuk,Neemias Queta,Lamar Stevens,Team Totals,,Dennis Schröder,Jakob Poeltl,Scottie Barnes,Gary Trent Jr.,Pascal Siakam,Precious Achiuwa,Malachi Flynn,Chris Boucher,Gradey Dick,Jalen McDaniels,OG Anunoby,Garrett Temple,Team Totals,,,
13,20231119,MEM,W,102,100,11,2,W 6,BOS,2024,False,91.8,.532,16.2,24.3,.260,111.1,92.8,.479,10.0,28.0,.095,107.7,Jrue Holiday,Jayson Tatum,Derrick White,Jaylen Brown,Kristaps Porziņģis,Sam Hauser,Al Horford,Payton Pritchard,Neemias Queta,Lamar Stevens,Dalano Banton,Oshae Brissett,Luke Kornet,Svi Mykhailiuk,Team Totals,,Santi Aldama,Desmond Bane,Jaren Jackson Jr.,John Konchar,Bismack Biyombo,Ziaire Williams,David Roddy,Vince Williams Jr.,Jacob Gilyard,Kenneth Lofton Jr.,GG Jackson II,Jake LaRavia,Team Totals,,,
14,20231120,CHO,L,118,121,11,3,L 1,BOS,2024,False,97.3,.515,12.1,21.6,.186,109.9,96.3,.505,10.4,31.5,.154,113.7,Jayson Tatum,Sam Hauser,Jrue Holiday,Kristaps Porziņģis,Jaylen Brown,Payton Pritchard,Luke Kornet,Oshae Brissett,Svi Mykhailiuk,Dalano Banton,JD Davison,Neemias Queta,Lamar Stevens,Jordan Walsh,Team Totals,,Miles Bridges,LaMelo Ball,Brandon Miller,Gordon Hayward,Mark Williams,P.J. Washington,Ish Smith,Bryce McGowens,JT Thor,James Bouknight,Théo Maledon,Nick Smith Jr.,Team Totals,,,
15,20231122,MIL,W,119,116,12,3,W 1,BOS,2024,False,101.6,.625,14.1,10.5,.167,117.2,101.6,.510,7.7,25.0,.129,114.2,Jayson Tatum,Derrick White,Jaylen Brown,Jrue Holiday,Kristaps Porziņģis,Al Horford,Payton Pritchard,Sam Hauser,Dalano Banton,Oshae Brissett,Luke Kornet,Svi Mykhailiuk,Lamar Stevens,Team Totals,,,Damian Lillard,Giannis Antetokounmpo,Brook Lopez,Khris Middleton,Malik Beasley,MarJon Beauchamp,Bobby Portis,Pat Connaughton,Cameron Payne,Andre Jackson Jr.,Thanasis Antetokounmpo,A.J. Green,Chris Livingston,Robin Lopez,Team Totals,
16,20231124,ORL,L,96,113,12,4,L 1,BOS,2024,False,99.0,.454,14.0,10.3,.355,96.9,98.5,.571,16.0,32.5,.188,114.7,Jayson Tatum,Jaylen Brown,Derrick White,Al Horford,Kristaps Porziņģis,Sam Hauser,Luke Kornet,Payton Pritchard,Oshae Brissett,Dalano Banton,Lamar Stevens,Svi Mykhailiuk,Team Totals,,,,Franz Wagner,Paolo Banchero,Jalen Suggs,Goga Bitadze,Anthony Black,Cole Anthony,Moritz Wagner,Joe Ingles,Gary Harris,Jonathan Isaac,Caleb Houstan,Jett Howard,Chuma Okeke,Admiral Schofield,Team Totals,
17,20231126,ATL,W,113,103,13,4,W 1,BOS,2024,False,97.1,.511,11.1,36.0,.168,116.4,97.1,.517,14.2,21.6,.136,106.1,Jayson Tatum,Derrick White,Jaylen Brown,Al Horford,Dalano Banton,Sam Hauser,Payton Pritchard,Neemias Queta,Luke Kornet,Oshae Brissett,Svi Mykhailiuk,Lamar Stevens,Jordan Walsh,Team Totals,,,De'Andre Hunter,Trae Young,Dejounte Murray,Saddiq Bey,Clint Capela,Bogdan Bogdanović,Onyeka Okongwu,AJ Griffin,Wesley Matthews,Bruno Fernando,Trent Forrest,Garrison Mathews,Patty Mills,Team Totals,,
18,20231128,CHI,W,124,97,14,4,W 2,BOS,2024,False,96.6,.639,14.4,28.2,.100,128.4,96.6,.483,7.6,18.0,.111,100.4,Jayson Tatum,Jaylen Brown,Jrue Holiday,Derrick White,Al Horford,Payton Pritchard,Sam Hauser,Luke Kornet,Dalano Banton,Svi Mykhailiuk,Lamar Stevens,Oshae Brissett,Neemias Queta,Team Totals,,,Coby White,Patrick Williams,DeMar DeRozan,Nikola Vučević,Zach LaVine,Ayo Dosunmu,Alex Caruso,Jevon Carter,Torrey Craig,Andre Drummond,Julian Phillips,Dalen Terry,Terry Taylor,Team Totals,,
19,20231201,PHI,W,125,119,15,4,W 3,BOS,2024,False,101.8,.610,17.7,27.0,.403,122.8,101.8,.543,13.3,29.4,.181,116.9,Jaylen Brown,Jrue Holiday,Al Horford,Derrick White,Jayson Tatum,Sam Hauser,Payton Pritchard,Neemias Queta,Dalano Banton,Luke Kornet,Oshae Brissett,Svi Mykhailiuk,Lamar Stevens,Team Totals,,,Patrick Beverley,Tobias Harris,De'Anthony Melton,Marcus Morris,Paul Reed,Robert Covington,Mo Bamba,Furkan Korkmaz,KJ Martin,Nicolas Batum,Tyrese Maxey,Jaden Springer,Team Totals,,,
20,20231204,IND,L,112,122,15,5,L 1,BOS,2024,False,102.7,.536,15.0,27.7,.082,109.0,102.2,.559,5.5,14.0,.181,119.3,Jrue Holiday,Jayson Tatum,Derrick White,Jaylen Brown,Al Horford,Sam Hauser,Luke Kornet,Payton Pritchard,Dalano Banton,Oshae Brissett,Svi Mykhailiuk,Neemias Queta,Lamar Stevens,Team Totals,,,Tyrese Haliburton,Bruce Brown,Myles Turner,Buddy Hield,Obi Toppin,Aaron Nesmith,Bennedict Mathurin,T.J. McConnell,Andrew Nembhard,Isaiah Jackson,Jordan Nwora,Ben Sheppard,Oscar Tshiebwe,Jarace Walker,Team Totals,
21,20231208,NYK,W,133,123,16,5,W 1,BOS,2024,False,97.6,.632,7.4,20.0,.198,136.3,97.6,.585,12.3,31.6,.227,126.1,Jayson Tatum,Jrue Holiday,Derrick White,Kristaps Porziņģis,Jaylen Brown,Al Horford,Sam Hauser,Payton Pritchard,Luke Kornet,Dalano Banton,Oshae Brissett,Svi Mykhailiuk,Neemias Queta,Lamar Stevens,Team Totals,,Julius Randle,Jalen Brunson,RJ Barrett,Donte DiVincenzo,Mitchell Robinson,Isaiah Hartenstein,Josh Hart,Immanuel Quickley,Quentin Grimes,Ryan Arcidiacono,Evan Fournier,DaQuan Jeffries,Miles McBride,Jericho Sims,Team Totals,
