,G,Date,Opponent,Resultado,Tm,Opp,W,L,Streak,Team,Year,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Starters_Team,Bench_Team,Starters_Opp,Bench_Opp
0,1,20231025,MEM,W,111,104,1,0,1,NOP,2024,False,102.1,0.553,18.2,27.5,0.2,108.7,102.1,0.484,11.5,16.3,0.176,101.8,"['Herbert Jones', 'CJ McCollum', 'Brandon Ingram', 'Zion Williamson', 'Jonas Valančiūnas']","['Dyson Daniels', 'Larry Nance Jr.', 'Matt Ryan', 'Kira Lewis Jr.', 'Jordan Hawkins', 'Kaiser Gates', 'E.J. Liddell', 'Cody Zeller']","['Desmond Bane', 'Jaren Jackson Jr.', 'Xavier Tillman Sr.', 'Marcus Smart', 'Ziaire Williams']","['David Roddy', 'Derrick Rose', 'Luke Kennard', 'Jake LaRavia', 'Jacob Gilyard', 'GG Jackson II', 'John Konchar', 'Kenneth Lofton Jr.', 'Ja Morant', 'Vince Williams Jr.']"
1,2,20231028,NYK,W,96,87,2,0,2,NOP,2024,False,99.8,0.511,12.1,8.5,0.08,96.2,100.3,0.406,16.3,29.1,0.156,86.7,"['Brandon Ingram', 'CJ McCollum', 'Zion Williamson', 'Herbert Jones', 'Jonas Valančiūnas']","['Matt Ryan', 'Dyson Daniels', 'Jordan Hawkins', 'Larry Nance Jr.', 'Kira Lewis Jr.', 'Cody Zeller', 'E.J. Liddell']","['Julius Randle', 'Jalen Brunson', 'RJ Barrett', 'Mitchell Robinson', 'Quentin Grimes']","['Josh Hart', 'Donte DiVincenzo', 'Immanuel Quickley', 'Isaiah Hartenstein', 'Miles McBride', 'Jericho Sims', 'DaQuan Jeffries', 'Dylan Windler', 'Ryan Arcidiacono', 'Evan Fournier']"
2,3,20231030,GSW,L,102,130,2,1,-1,NOP,2024,False,98.5,0.462,9.5,24.6,0.172,103.6,99.0,0.597,12.3,45.7,0.133,131.3,"['Jordan Hawkins', 'CJ McCollum', 'Zion Williamson', 'Jonas Valančiūnas', 'Herbert Jones']","['Matt Ryan', 'Dyson Daniels', 'Larry Nance Jr.', 'Kira Lewis Jr.', 'Kaiser Gates', 'Cody Zeller', 'Brandon Ingram', 'E.J. Liddell']","['Stephen Curry', 'Kevon Looney', 'Draymond Green', 'Moses Moody', 'Andrew Wiggins']","['Chris Paul', 'Brandin Podziemski', 'Dario Šarić', 'Gary Payton II', 'Trayce Jackson-Davis', 'Lester Quinones', 'Cory Joseph', 'Jerome Robinson']"
3,4,20231101,OKC,W,110,106,3,1,1,NOP,2024,False,103.3,0.456,8.7,33.8,0.167,106.5,103.3,0.472,13.2,14.3,0.261,102.7,"['Jordan Hawkins', 'CJ McCollum', 'Zion Williamson', 'Herbert Jones', 'Jonas Valančiūnas']","['Dyson Daniels', 'Larry Nance Jr.', 'Matt Ryan', 'Kira Lewis Jr.', 'Cody Zeller', 'E.J. Liddell']","['Shai Gilgeous-Alexander', 'Jalen Williams', 'Chet Holmgren', 'Josh Giddey', 'Luguentz Dort']","['Cason Wallace', 'Isaiah Joe', 'Aaron Wiggins', 'Ousmane Dieng', 'Olivier Sarr', 'Lindy Waters III', 'Dāvis Bertāns', 'Tre Mann', 'Vasilije Micić', 'Aleksej Pokusevski']"
4,5,20231102,DET,W,125,116,4,1,2,NOP,2024,False,97.7,0.575,11.2,19.4,0.413,127.9,97.7,0.505,13.2,39.6,0.223,118.7,"['CJ McCollum', 'Matt Ryan', 'Herbert Jones', 'Jonas Valančiūnas', 'Jordan Hawkins']","['Dyson Daniels', 'Kira Lewis Jr.', 'Larry Nance Jr.', 'Dereon Seabron', 'E.J. Liddell', 'Zion Williamson', 'Cody Zeller']","['Killian Hayes', 'Isaiah Stewart', 'Cade Cunningham', 'Jalen Duren', 'Ausar Thompson']","['Joe Harris', 'Marcus Sasser', 'Jaden Ivey', 'Marvin Bagley III', 'Stanley Umude', 'Malcolm Cazalon', 'Jared Rhoden', 'James Wiseman']"
5,6,20231104,ATL,L,105,123,4,2,-1,NOP,2024,False,92.6,0.524,10.6,21.4,0.202,113.4,92.6,0.559,11.2,42.2,0.204,132.8,"['CJ McCollum', 'Herbert Jones', 'Zion Williamson', 'Brandon Ingram', 'Jonas Valančiūnas']","['Jordan Hawkins', 'Dyson Daniels', 'Matt Ryan', 'Larry Nance Jr.', 'Kira Lewis Jr.', 'E.J. Liddell', 'Cody Zeller']","['Trae Young', 'Dejounte Murray', 'Jalen Johnson', ""De'Andre Hunter"", 'Clint Capela']","['Saddiq Bey', 'Bogdan Bogdanović', 'Onyeka Okongwu', 'Garrison Mathews', 'Bruno Fernando', 'Trent Forrest', 'AJ Griffin', 'Mouhamed Gueye', 'Patty Mills']"
6,7,20231106,DEN,L,116,134,4,3,-2,NOP,2024,False,100.2,0.572,11.9,19.0,0.144,115.8,100.7,0.616,8.7,26.8,0.179,133.1,"['Jordan Hawkins', 'Zion Williamson', 'Brandon Ingram', 'Herbert Jones', 'Jonas Valančiūnas']","['Matt Ryan', 'Dyson Daniels', 'Larry Nance Jr.', 'Kira Lewis Jr.', 'Cody Zeller', 'E.J. Liddell', 'Dereon Seabron']","['Nikola Jokić', 'Aaron Gordon', 'Kentavious Caldwell-Pope', 'Michael Porter Jr.', 'Reggie Jackson']","['Julian Strawther', 'Peyton Watson', 'Christian Braun', 'Collin Gillespie', 'Zeke Nnaji', 'Jalen Pickett', 'Braxton Key', 'Hunter Tyson', 'Justin Holiday', 'DeAndre Jordan']"
7,8,20231108,MIN,L,101,122,4,4,-3,NOP,2024,False,102.3,0.43,14.2,21.6,0.226,98.7,103.3,0.64,16.3,21.6,0.207,118.1,"['Brandon Ingram', 'Dyson Daniels', 'Jordan Hawkins', 'Jeremiah Robinson-Earl', 'Jonas Valančiūnas']","['Matt Ryan', 'Kira Lewis Jr.', 'Larry Nance Jr.', 'Dereon Seabron', 'Cody Zeller', 'E.J. Liddell', 'Zion Williamson']","['Anthony Edwards', 'Rudy Gobert', 'Karl-Anthony Towns', 'Jaden McDaniels', 'Mike Conley']","['Kyle Anderson', 'Naz Reid', 'Shake Milton', 'Nickeil Alexander-Walker', 'Luka Garza', 'Troy Brown Jr.', 'Josh Minott', 'Daishen Nix']"
8,9,20231110,HOU,L,101,104,4,5,-4,NOP,2024,False,98.1,0.507,16.7,19.5,0.333,102.9,98.1,0.466,8.2,18.0,0.25,106.0,"['Jordan Hawkins', 'Dyson Daniels', 'Brandon Ingram', 'Zion Williamson', 'Jonas Valančiūnas']","['Matt Ryan', 'Larry Nance Jr.', 'Dereon Seabron', 'Jeremiah Robinson-Earl', 'Cody Zeller', 'Kira Lewis Jr.', 'Naji Marshall']","['Fred VanVleet', 'Jalen Green', 'Alperen Sengun', 'Jabari Smith Jr.', 'Dillon Brooks']","[""Jae'Sean Tate"", 'Jeff Green', 'Tari Eason', 'Aaron Holiday', 'Jock Landale', 'Reggie Bullock', 'Boban Marjanović', 'Jeenathan Williams']"
9,10,20231112,DAL,L,124,136,4,6,-5,NOP,2024,False,106.4,0.603,15.0,27.7,0.141,116.5,106.4,0.588,5.1,16.3,0.157,127.8,"['Dyson Daniels', 'Brandon Ingram', 'Jordan Hawkins', 'Zion Williamson', 'Jonas Valančiūnas']","['Matt Ryan', 'Jeremiah Robinson-Earl', 'Naji Marshall', 'Cody Zeller', 'Dereon Seabron', 'Kira Lewis Jr.', 'Larry Nance Jr.']","['Kyrie Irving', 'Luka Dončić', 'Dereck Lively II', 'Derrick Jones Jr.', 'Grant Williams']","['Tim Hardaway Jr.', 'Josh Green', 'Dwight Powell', 'Dante Exum', 'Jaden Hardy', 'Olivier-Maxence Prosper', 'Seth Curry', 'Richaun Holmes', 'Markieff Morris']"
10,11,20231114,DAL,W,131,110,5,6,1,NOP,2024,False,102.2,0.596,11.0,29.3,0.202,128.2,101.7,0.5,16.5,34.8,0.222,108.2,"['Brandon Ingram', 'Herbert Jones', 'Dyson Daniels', 'Zion Williamson', 'Jonas Valančiūnas']","['Jordan Hawkins', 'Naji Marshall', 'Matt Ryan', 'Jeremiah Robinson-Earl', 'Cody Zeller', 'Kira Lewis Jr.', 'Dereon Seabron']","['Luka Dončić', 'Kyrie Irving', 'Grant Williams', 'Dereck Lively II', 'Derrick Jones Jr.']","['Josh Green', 'Tim Hardaway Jr.', 'Jaden Hardy', 'Seth Curry', 'Dante Exum', 'Richaun Holmes', 'Dwight Powell', 'Olivier-Maxence Prosper', 'Markieff Morris']"
11,12,20231117,DEN,W,115,110,6,6,2,NOP,2024,False,102.3,0.591,10.2,9.1,0.125,112.4,101.3,0.542,11.4,23.9,0.063,108.6,"['Brandon Ingram', 'Herbert Jones', 'Jonas Valančiūnas', 'Dyson Daniels', 'Zion Williamson']","['Jordan Hawkins', 'Matt Ryan', 'Naji Marshall', 'Cody Zeller', 'Jeremiah Robinson-Earl', 'Jose Alvarado', 'Kira Lewis Jr.']","['Aaron Gordon', 'Nikola Jokić', 'Kentavious Caldwell-Pope', 'Reggie Jackson', 'Michael Porter Jr.']","['Christian Braun', 'Peyton Watson', 'Jalen Pickett', 'Julian Strawther', 'Zeke Nnaji', 'Collin Gillespie', 'Justin Holiday', 'DeAndre Jordan', 'Braxton Key']"
12,13,20231118,MIN,L,120,121,6,7,-1,NOP,2024,False,98.3,0.581,15.0,31.7,0.233,122.1,98.3,0.619,13.2,15.6,0.275,123.1,"['Dyson Daniels', 'Jordan Hawkins', 'Brandon Ingram', 'Jonas Valančiūnas', 'Herbert Jones']","['Matt Ryan', 'Naji Marshall', 'Cody Zeller', 'Jeremiah Robinson-Earl', 'Kira Lewis Jr.', 'Zion Williamson']","['Rudy Gobert', 'Jaden McDaniels', 'Karl-Anthony Towns', 'Mike Conley', 'Anthony Edwards']","['Kyle Anderson', 'Naz Reid', 'Nickeil Alexander-Walker', 'Shake Milton', 'Troy Brown Jr.', 'Josh Minott', 'Daishen Nix']"
13,14,20231120,SAC,W,129,93,7,7,1,NOP,2024,False,100.1,0.609,10.6,27.0,0.185,128.9,99.1,0.443,11.8,16.7,0.184,93.8,"['Zion Williamson', 'Herbert Jones', 'Brandon Ingram', 'Dyson Daniels', 'Jonas Valančiūnas']","['Jordan Hawkins', 'Naji Marshall', 'Cody Zeller', 'Jose Alvarado', 'Jeremiah Robinson-Earl', 'Kira Lewis Jr.', 'Larry Nance Jr.']","['Domantas Sabonis', 'Harrison Barnes', ""De'Aaron Fox"", 'Kevin Huerter', 'Keegan Murray']","['Malik Monk', 'Davion Mitchell', 'Kessler Edwards', 'Colby Jones', 'JaVale McGee', 'Jalen Slawson', 'Chris Duarte', 'Filip Petrušev', 'Sasha Vezenkov']"
14,15,20231122,SAC,W,117,112,8,7,2,NOP,2024,False,99.3,0.511,8.8,27.7,0.322,117.8,99.8,0.546,14.9,10.3,0.382,112.2,"['Herbert Jones', 'Zion Williamson', 'Brandon Ingram', 'Dyson Daniels', 'Jonas Valančiūnas']","['Jordan Hawkins', 'Naji Marshall', 'Jose Alvarado', 'Larry Nance Jr.', 'Cody Zeller', 'Kira Lewis Jr.', 'Jeremiah Robinson-Earl']","['Harrison Barnes', ""De'Aaron Fox"", 'Domantas Sabonis', 'Kevin Huerter', 'Chris Duarte']","['Trey Lyles', 'Malik Monk', 'Sasha Vezenkov', 'Davion Mitchell', 'JaVale McGee', 'Kessler Edwards', 'Colby Jones', 'Filip Petrušev', 'Jalen Slawson']"
15,16,20231124,LAC,W,116,106,9,7,3,NOP,2024,False,100.4,0.545,13.1,27.9,0.227,115.5,100.4,0.516,10.0,17.4,0.12,105.5,"['Dyson Daniels', 'Brandon Ingram', 'Zion Williamson', 'Jonas Valančiūnas', 'Herbert Jones']","['Naji Marshall', 'Jordan Hawkins', 'Larry Nance Jr.', 'Jose Alvarado', 'Kira Lewis Jr.', 'Jeremiah Robinson-Earl', 'Cody Zeller']","['Paul George', 'James Harden', 'Kawhi Leonard', 'Terance Mann', 'Ivica Zubac']","['Norman Powell', 'P.J. Tucker', 'Daniel Theis', 'Russell Westbrook', 'Kobe Brown', 'Amir Coffey', 'Moussa Diabaté', 'Bones Hyland']"
16,17,20231125,UTA,L,100,105,9,8,-1,NOP,2024,False,99.1,0.478,11.4,25.5,0.118,100.9,99.6,0.523,20.3,32.6,0.161,105.4,"['Jordan Hawkins', 'Brandon Ingram', 'Dyson Daniels', 'Jonas Valančiūnas', 'Herbert Jones']","['Jose Alvarado', 'Cody Zeller', 'Naji Marshall', 'Larry Nance Jr.', 'Kira Lewis Jr.', 'Jeremiah Robinson-Earl', 'Zion Williamson']","['Keyonte George', 'Omer Yurtseven', 'Simone Fontecchio', 'John Collins', 'Kris Dunn']","['Collin Sexton', 'Kelly Olynyk', 'Ochai Agbaji', 'Talen Horton-Tucker', 'Walker Kessler', 'Luka Šamanić']"
17,18,20231127,UTA,L,112,114,9,9,-2,NOP,2024,False,96.5,0.54,7.5,24.4,0.193,116.1,96.5,0.517,9.1,19.6,0.261,118.1,"['Brandon Ingram', 'Zion Williamson', 'Herbert Jones', 'Jonas Valančiūnas', 'Dyson Daniels']","['Naji Marshall', 'Jordan Hawkins', 'Jose Alvarado', 'Larry Nance Jr.', 'Cody Zeller', 'Kira Lewis Jr.', 'Jeremiah Robinson-Earl']","['Jordan Clarkson', 'Keyonte George', 'John Collins', 'Simone Fontecchio', 'Omer Yurtseven']","['Walker Kessler', 'Talen Horton-Tucker', 'Kelly Olynyk', 'Collin Sexton', 'Ochai Agbaji', 'Kris Dunn', 'Taylor Hendricks', 'Luka Šamanić', 'Brice Sensabaugh']"
18,19,20231129,PHI,W,124,114,10,9,1,NOP,2024,False,99.0,0.603,18.4,37.1,0.385,125.3,98.5,0.605,19.1,22.9,0.198,115.8,"['Brandon Ingram', 'Zion Williamson', 'Herbert Jones', 'Jonas Valančiūnas', 'CJ McCollum']","['Jordan Hawkins', 'Naji Marshall', 'Dyson Daniels', 'Cody Zeller', 'Jose Alvarado', 'Kira Lewis Jr.', 'Jeremiah Robinson-Earl']","['Tyrese Maxey', ""De'Anthony Melton"", 'Tobias Harris', 'Marcus Morris', 'Nicolas Batum']","['Robert Covington', 'Paul Reed', 'Patrick Beverley', 'KJ Martin', 'Mo Bamba', 'Furkan Korkmaz', 'Joel Embiid']"
19,20,20231201,SAS,W,121,106,11,9,2,NOP,2024,False,98.3,0.553,10.9,24.4,0.318,123.1,98.3,0.554,18.1,20.0,0.169,107.9,"['CJ McCollum', 'Brandon Ingram', 'Herbert Jones', 'Jonas Valančiūnas', 'Zion Williamson']","['Trey Murphy III', 'Naji Marshall', 'Jordan Hawkins', 'Cody Zeller', 'Dyson Daniels', 'Jose Alvarado', 'Kira Lewis Jr.']","['Keldon Johnson', 'Jeremy Sochan', 'Zach Collins', 'Julian Champagnie', 'Malaki Branham']","['Cedi Osman', 'Devin Vassell', 'Tre Jones', 'Charles Bassey', 'Sandro Mamukelashvili', 'Dominick Barlow', 'Blake Wesley', ""Devonte' Graham""]"
20,21,20231202,CHI,L,118,124,11,10,-1,NOP,2024,False,94.0,0.549,11.0,31.0,0.341,125.6,94.0,0.642,12.1,31.6,0.125,132.0,"['Brandon Ingram', 'Jonas Valančiūnas', 'Herbert Jones', 'Zion Williamson', 'Dyson Daniels']","['Naji Marshall', 'Jordan Hawkins', 'Jose Alvarado', 'Cody Zeller', 'Jeremiah Robinson-Earl', 'Kira Lewis Jr.', 'Dereon Seabron']","['Coby White', 'DeMar DeRozan', 'Nikola Vučević', 'Patrick Williams', 'Alex Caruso']","['Ayo Dosunmu', 'Torrey Craig', 'Andre Drummond', 'Jevon Carter', 'Julian Phillips', 'Terry Taylor', 'Dalen Terry']"
21,22,20231204,SAC,W,127,117,12,10,1,NOP,2024,False,96.8,0.621,12.6,32.5,0.218,131.2,96.3,0.529,12.3,27.5,0.318,121.5,"['Brandon Ingram', 'CJ McCollum', 'Herbert Jones', 'Jonas Valančiūnas', 'Zion Williamson']","['Trey Murphy III', 'Jose Alvarado', 'Naji Marshall', 'Dyson Daniels', 'Cody Zeller', 'Jordan Hawkins', 'Kira Lewis Jr.', 'Jeremiah Robinson-Earl']","[""De'Aaron Fox"", 'Domantas Sabonis', 'Harrison Barnes', 'Kevin Huerter', 'Keegan Murray']","['Malik Monk', 'Trey Lyles', 'Keon Ellis', 'Sasha Vezenkov', 'JaVale McGee', 'Kessler Edwards', 'Jordan Ford', 'Colby Jones', 'Davion Mitchell', 'Jalen Slawson']"
22,23,20231207,LAL,L,89,133,12,11,-1,NOP,2024,False,101.2,0.395,10.4,20.0,0.147,88.0,101.7,0.645,13.2,26.8,0.256,130.8,"['Brandon Ingram', 'Herbert Jones', 'Zion Williamson', 'CJ McCollum', 'Jonas Valančiūnas']","['Trey Murphy III', 'Jose Alvarado', 'Dyson Daniels', 'Naji Marshall', 'Jordan Hawkins', 'Cody Zeller', 'Kira Lewis Jr.', 'Jeremiah Robinson-Earl']","['Anthony Davis', 'Cam Reddish', 'Taurean Prince', 'LeBron James', ""D'Angelo Russell""]","['Austin Reaves', 'Rui Hachimura', 'Max Christie', 'Jaxson Hayes', 'Jarred Vanderbilt', 'Christian Wood', 'Maxwell Lewis', 'Jalen Hood-Schifino']"
23,24,20231211,MIN,W,121,107,13,11,1,NOP,2024,False,99.7,0.549,12.3,21.7,0.378,121.4,100.7,0.511,12.4,22.9,0.154,106.3,"['Jonas Valančiūnas', 'Zion Williamson', 'Herbert Jones', 'Brandon Ingram', 'CJ McCollum']","['Dyson Daniels', 'Trey Murphy III', 'Jose Alvarado', 'Naji Marshall', 'Jordan Hawkins', 'Kira Lewis Jr.', 'Jeremiah Robinson-Earl', 'Cody Zeller']","['Karl-Anthony Towns', 'Troy Brown Jr.', 'Mike Conley', 'Rudy Gobert', 'Nickeil Alexander-Walker']","['Jaden McDaniels', 'Naz Reid', 'Shake Milton', 'Kyle Anderson', 'Jordan McLaughlin', 'Josh Minott', 'Wendell Moore Jr.', 'Daishen Nix']"
24,25,20231213,WAS,W,142,122,14,11,2,NOP,2024,False,104.5,0.604,8.4,25.0,0.271,135.9,104.0,0.628,13.9,7.7,0.232,117.3,"['Jonas Valančiūnas', 'CJ McCollum', 'Brandon Ingram', 'Herbert Jones', 'Dyson Daniels']","['Trey Murphy III', 'Naji Marshall', 'Jordan Hawkins', 'Jose Alvarado', 'Cody Zeller', 'Kira Lewis Jr.', 'Jeremiah Robinson-Earl']","['Jordan Poole', 'Deni Avdija', 'Kyle Kuzma', 'Tyus Jones', 'Daniel Gafford']","['Bilal Coulibaly', 'Corey Kispert', 'Danilo Gallinari', 'Jared Butler', 'Anthony Gill', 'Patrick Baldwin Jr.', 'Mike Muscala']"
25,26,20231215,CHO,W,112,107,15,11,3,NOP,2024,False,98.0,0.531,14.5,26.2,0.338,114.3,97.5,0.495,7.3,17.4,0.174,109.8,"['Jonas Valančiūnas', 'CJ McCollum', 'Brandon Ingram', 'Zion Williamson', 'Herbert Jones']","['Trey Murphy III', 'Jose Alvarado', 'Dyson Daniels', 'Naji Marshall', 'Jordan Hawkins', 'Jeremiah Robinson-Earl', 'Cody Zeller']","['Terry Rozier', 'Miles Bridges', 'Brandon Miller', 'Gordon Hayward', 'Nick Richards']","['Bryce McGowens', 'Ish Smith', 'JT Thor', 'Nathan Mensah', 'Leaky Black', 'James Bouknight', 'Nick Smith Jr.']"
26,27,20231217,SAS,W,146,110,16,11,4,NOP,2024,False,107.1,0.673,12.2,26.8,0.143,136.3,106.1,0.505,11.2,18.4,0.16,103.7,"['Brandon Ingram', 'CJ McCollum', 'Zion Williamson', 'Jonas Valančiūnas', 'Herbert Jones']","['Trey Murphy III', 'Jose Alvarado', 'Naji Marshall', 'Cody Zeller', 'Dyson Daniels', 'Jordan Hawkins', 'Jeremiah Robinson-Earl']","['Keldon Johnson', 'Victor Wembanyama', 'Devin Vassell', 'Malaki Branham', 'Jeremy Sochan']","['Cedi Osman', 'Zach Collins', 'Tre Jones', 'Doug McDermott', 'Julian Champagnie', 'Sandro Mamukelashvili', ""Devonte' Graham""]"
27,28,20231219,MEM,L,113,115,16,12,-1,NOP,2024,False,94.5,0.535,10.3,27.5,0.259,119.5,95.0,0.561,16.0,31.7,0.28,121.0,"['CJ McCollum', 'Brandon Ingram', 'Jonas Valančiūnas', 'Herbert Jones', 'Zion Williamson']","['Trey Murphy III', 'Naji Marshall', 'Dyson Daniels', 'Cody Zeller', 'Jose Alvarado', 'Jordan Hawkins', 'Jeremiah Robinson-Earl']","['Desmond Bane', 'Ja Morant', 'Vince Williams Jr.', 'Jaren Jackson Jr.', 'Bismack Biyombo']","['John Konchar', 'Xavier Tillman Sr.', 'Ziaire Williams', 'Santi Aldama', 'David Roddy', 'Jacob Gilyard', 'Derrick Rose']"
28,29,20231221,CLE,W,123,104,17,12,1,NOP,2024,False,93.5,0.634,8.8,19.4,0.163,131.6,94.0,0.569,11.7,15.4,0.057,110.7,"['CJ McCollum', 'Herbert Jones', 'Brandon Ingram', 'Trey Murphy III', 'Jonas Valančiūnas']","['Naji Marshall', 'Dyson Daniels', 'Jeremiah Robinson-Earl', 'Jose Alvarado', 'Jordan Hawkins', 'Zion Williamson', 'Cody Zeller']","['Max Strus', 'Isaac Okoro', 'Craig Porter Jr.', 'Jarrett Allen', 'Dean Wade']","['Caris LeVert', 'Tristan Thompson', 'Georges Niang', 'Sam Merrill', 'Emoni Bates', 'Isaiah Mobley', 'Damian Jones']"
29,30,20231223,HOU,L,104,106,17,13,-1,NOP,2024,False,94.2,0.512,14.4,29.5,0.244,110.4,94.7,0.482,11.0,28.3,0.329,111.9,"['Brandon Ingram', 'Zion Williamson', 'CJ McCollum', 'Jonas Valančiūnas', 'Herbert Jones']","['Trey Murphy III', 'Jeremiah Robinson-Earl', 'Dyson Daniels', 'Naji Marshall', 'Jose Alvarado', 'Jordan Hawkins', 'Kira Lewis Jr.']","['Alperen Sengun', 'Jabari Smith Jr.', 'Fred VanVleet', 'Dillon Brooks', 'Jalen Green']","['Jeff Green', 'Tari Eason', 'Aaron Holiday', ""Jae'Sean Tate"", 'Amen Thompson', 'Nate Hinton', 'Jock Landale', 'Boban Marjanović', 'Jermaine Samuels', 'Cam Whitmore']"
30,31,20231226,MEM,L,115,116,17,14,-2,NOP,2024,False,101.3,0.485,11.9,19.2,0.216,102.8,101.3,0.494,14.7,18.2,0.3,103.7,"['Brandon Ingram', 'CJ McCollum', 'Jonas Valančiūnas', 'Zion Williamson', 'Herbert Jones']","['Trey Murphy III', 'Dyson Daniels', 'Naji Marshall', 'Jose Alvarado', 'Cody Zeller', 'Jordan Hawkins', 'Kira Lewis Jr.', 'Jeremiah Robinson-Earl']","['Desmond Bane', 'Ja Morant', 'Jaren Jackson Jr.', 'Marcus Smart', 'Bismack Biyombo']","['Xavier Tillman Sr.', 'Vince Williams Jr.', 'David Roddy', 'Ziaire Williams', 'Santi Aldama', 'Jacob Gilyard', 'John Konchar']"
31,32,20231228,UTA,W,112,105,18,14,1,NOP,2024,False,94.5,0.61,14.5,19.4,0.146,118.5,94.5,0.494,16.5,37.0,0.247,111.1,"['Brandon Ingram', 'CJ McCollum', 'Zion Williamson', 'Herbert Jones', 'Jonas Valančiūnas']","['Larry Nance Jr.', 'Trey Murphy III', 'Naji Marshall', 'Dyson Daniels', 'Jose Alvarado', 'Kira Lewis Jr.', 'Jeremiah Robinson-Earl', 'Cody Zeller']","['Lauri Markkanen', 'Collin Sexton', 'Walker Kessler', 'John Collins', 'Kris Dunn']","['Jordan Clarkson', 'Keyonte George', 'Kelly Olynyk', 'Ochai Agbaji', 'Simone Fontecchio', 'Talen Horton-Tucker', 'Taylor Hendricks', 'Luka Šamanić', 'Brice Sensabaugh', 'Omer Yurtseven']"
32,33,20231231,LAL,W,129,109,19,14,2,NOP,2024,False,99.3,0.615,11.6,27.9,0.253,129.9,98.3,0.537,12.3,10.3,0.256,110.9,"['Brandon Ingram', 'CJ McCollum', 'Zion Williamson', 'Herbert Jones', 'Jonas Valančiūnas']","['Larry Nance Jr.', 'Naji Marshall', 'Jose Alvarado', 'Jordan Hawkins', 'Dyson Daniels', 'Kira Lewis Jr.', 'Jeremiah Robinson-Earl', 'Cody Zeller']","['LeBron James', 'Anthony Davis', 'Taurean Prince', 'Jarred Vanderbilt', 'Rui Hachimura']","['Austin Reaves', 'Max Christie', 'Christian Wood', 'Jaxson Hayes', 'Jalen Hood-Schifino', 'Cam Reddish', ""D'Angelo Russell""]"
33,34,20240102,BRK,W,112,85,20,14,3,NOP,2024,False,91.3,0.557,15.1,40.5,0.159,122.7,92.3,0.413,12.9,33.3,0.041,92.1,"['Zion Williamson', 'Brandon Ingram', 'CJ McCollum', 'Herbert Jones', 'Jonas Valančiūnas']","['Jordan Hawkins', 'Jose Alvarado', 'Larry Nance Jr.', 'Dyson Daniels', 'Naji Marshall', 'Cody Zeller', 'Kira Lewis Jr.', 'Jeremiah Robinson-Earl']","['Mikal Bridges', 'Cameron Johnson', 'Nic Claxton', 'Spencer Dinwiddie', 'Dorian Finney-Smith']","[""Royce O'Neale"", 'Cam Thomas', 'Dennis Smith Jr.', ""Day'Ron Sharpe"", 'Jalen Wilson', 'Harry Giles', 'Armoni Brooks', 'Trendon Watford']"
34,35,20240103,MIN,W,117,106,21,14,4,NOP,2024,False,92.0,0.63,13.7,31.0,0.185,127.2,92.0,0.512,12.2,20.0,0.268,115.2,"['Herbert Jones', 'Brandon Ingram', 'CJ McCollum', 'Zion Williamson', 'Jonas Valančiūnas']","['Jose Alvarado', 'Dyson Daniels', 'Larry Nance Jr.', 'Naji Marshall', 'Jordan Hawkins', 'Cody Zeller', 'Kira Lewis Jr.', 'Jeremiah Robinson-Earl']","['Anthony Edwards', 'Karl-Anthony Towns', 'Jaden McDaniels', 'Mike Conley', 'Rudy Gobert']","['Naz Reid', 'Nickeil Alexander-Walker', 'Jordan McLaughlin', 'Kyle Anderson', 'Shake Milton', 'Troy Brown Jr.', 'Josh Minott', 'Daishen Nix']"
35,36,20240105,LAC,L,95,111,21,15,-1,NOP,2024,False,93.2,0.424,8.1,25.9,0.185,102.0,93.7,0.579,14.2,25.6,0.195,118.5,"['CJ McCollum', 'Brandon Ingram', 'Herbert Jones', 'Jonas Valančiūnas', 'Zion Williamson']","['Dyson Daniels', 'Larry Nance Jr.', 'Jose Alvarado', 'Naji Marshall', 'Trey Murphy III', 'Jordan Hawkins', 'Cody Zeller', 'Jeremiah Robinson-Earl']","['Paul George', 'Kawhi Leonard', 'James Harden', 'Ivica Zubac', 'Terance Mann']","['Norman Powell', 'Russell Westbrook', 'Amir Coffey', 'Daniel Theis', 'Mason Plumlee', 'Brandon Boston Jr.', 'Kobe Brown', 'Bones Hyland', 'P.J. Tucker']"
36,37,20240107,SAC,W,133,100,22,15,1,NOP,2024,False,94.1,0.726,15.2,34.6,0.171,141.3,94.1,0.5,8.5,16.0,0.099,106.2,"['Brandon Ingram', 'CJ McCollum', 'Herbert Jones', 'Trey Murphy III', 'Jonas Valančiūnas']","['Dyson Daniels', 'Jordan Hawkins', 'Naji Marshall', 'Larry Nance Jr.', 'Jeremiah Robinson-Earl', 'Cody Zeller', 'E.J. Liddell']","['Domantas Sabonis', 'Keegan Murray', ""De'Aaron Fox"", 'Harrison Barnes', 'Chris Duarte']","['Kevin Huerter', 'Sasha Vezenkov', 'Malik Monk', 'Keon Ellis', 'Davion Mitchell', 'Colby Jones', 'Alex Len', 'Kessler Edwards', 'JaVale McGee']"
