,G,Date,Opponent,Resultado,Tm,Opp,W,L,Streak,Team,Year,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Starters_Team,Bench_Team,Starters_Opp,Bench_Opp
1726,7,20211104,HOU,W,123,111,4,3,3,PHO,2022,False,104.6,0.548,10.4,26.5,0.226,117.6,104.6,0.494,15.9,17.5,0.273,106.2,"['Chris Paul', 'Devin Booker', 'Mikal Bridges', 'Jae Crowder', 'Deandre Ayton']","['Cameron Johnson', 'Landry Shamet', 'JaVale McGee', 'Elfrid Payton', 'Abdel Nader', 'Frank Kaminsky', 'Cameron Payne', 'Jalen Smith', 'Ish Wainright']","['Christian Wood', 'Kevin Porter Jr.', ""Jae'Sean Tate"", 'Jalen Green', 'Alperen Sengun']","['Eric Gordon', 'David Nwaba', 'KJ Martin', 'D.J. Augustin', 'Armoni Brooks', 'Josh Christopher', 'Usman Garuba']"
1727,8,20211106,ATL,W,121,117,5,3,4,PHO,2022,False,102.4,0.591,11.0,12.2,0.193,118.1,102.4,0.5,10.1,27.5,0.206,114.2,"['Chris Paul', 'Devin Booker', 'Jae Crowder', 'Mikal Bridges', 'JaVale McGee']","['Frank Kaminsky', 'Cameron Johnson', 'Landry Shamet', 'Cameron Payne', 'Abdel Nader', 'Deandre Ayton', 'Chandler Hutchison', 'Elfrid Payton', 'Jalen Smith', 'Ish Wainright']","['Trae Young', 'John Collins', 'Bogdan Bogdanović', ""De'Andre Hunter"", 'Clint Capela']","['Cam Reddish', 'Danilo Gallinari', 'Kevin Huerter', 'Lou Williams', 'Gorgui Dieng', 'Solomon Hill', 'Timothé Luwawu-Cabarrot', 'Delon Wright']"
1728,9,20211108,SAC,W,109,104,6,3,5,PHO,2022,False,106.7,0.538,13.3,11.6,0.097,102.2,106.7,0.512,20.4,19.5,0.244,97.5,"['Mikal Bridges', 'Devin Booker', 'Jae Crowder', 'JaVale McGee', 'Chris Paul']","['Cameron Payne', 'Frank Kaminsky', 'Cameron Johnson', 'Landry Shamet', 'Abdel Nader', 'Deandre Ayton', 'Chandler Hutchison', 'Elfrid Payton', 'Jalen Smith', 'Ish Wainright']","['Harrison Barnes', ""De'Aaron Fox"", 'Buddy Hield', 'Richaun Holmes', 'Maurice Harkless']","['Davion Mitchell', 'Terence Davis', 'Chimezie Metu', 'Damian Jones', 'Alex Len', ""Jahmi'us Ramsey"", 'Marvin Bagley III', 'Tristan Thompson']"
1729,10,20211110,POR,W,119,109,7,3,6,PHO,2022,False,98.3,0.58,10.0,22.0,0.106,121.0,98.3,0.522,14.0,31.8,0.154,110.9,"['Mikal Bridges', 'Devin Booker', 'Chris Paul', 'Jae Crowder', 'JaVale McGee']","['Frank Kaminsky', 'Cameron Johnson', 'Cameron Payne', 'Abdel Nader', 'Deandre Ayton', 'Chandler Hutchison', 'Elfrid Payton', 'Landry Shamet', 'Jalen Smith', 'Ish Wainright']","['CJ McCollum', 'Damian Lillard', 'Norman Powell', 'Robert Covington', 'Jusuf Nurkić']","['Larry Nance Jr.', 'Nassir Little', 'Anfernee Simons', 'Cody Zeller', 'Tony Snell', 'Greg Brown III', 'CJ Elleby', 'Ben McLemore', 'Dennis Smith Jr.']"
1730,11,20211112,MEM,W,119,94,8,3,7,PHO,2022,False,104.3,0.585,10.9,8.7,0.096,114.1,104.3,0.413,12.2,28.8,0.133,90.2,"['Mikal Bridges', 'Chris Paul', 'Devin Booker', 'Jae Crowder', 'JaVale McGee']","['Frank Kaminsky', 'Landry Shamet', 'Cameron Johnson', 'Cameron Payne', 'Abdel Nader', 'Jalen Smith', 'Deandre Ayton', 'Chandler Hutchison', 'Elfrid Payton', 'Ish Wainright']","['Ja Morant', 'Jaren Jackson Jr.', 'Desmond Bane', 'Steven Adams', ""De'Anthony Melton""]","['John Konchar', 'Ziaire Williams', 'Brandon Clarke', 'Kyle Anderson', 'Tyus Jones', 'Sam Merrill', 'Xavier Tillman Sr.', 'Santi Aldama', 'Yves Pons', 'Jarrett Culver']"
1731,12,20211114,HOU,W,115,89,9,3,8,PHO,2022,False,103.3,0.505,8.6,23.5,0.175,111.4,103.3,0.453,19.8,18.4,0.141,86.2,"['Devin Booker', 'Mikal Bridges', 'Chris Paul', 'JaVale McGee', 'Jae Crowder']","['Cameron Johnson', 'Frank Kaminsky', 'Cameron Payne', 'Landry Shamet', 'Abdel Nader', 'Deandre Ayton', 'Chandler Hutchison', 'Elfrid Payton', 'Jalen Smith', 'Ish Wainright']","['Kevin Porter Jr.', 'Jalen Green', 'Christian Wood', ""Jae'Sean Tate"", 'Daniel Theis']","['Eric Gordon', 'Alperen Sengun', 'Danuel House Jr.', 'KJ Martin', 'Josh Christopher', 'Armoni Brooks', 'David Nwaba', 'Usman Garuba', 'D.J. Augustin']"
1732,13,20211115,MIN,W,99,96,10,3,9,PHO,2022,False,101.0,0.418,12.9,25.5,0.329,98.0,101.0,0.441,17.8,25.5,0.247,95.0,"['Devin Booker', 'Chris Paul', 'Deandre Ayton', 'Mikal Bridges', 'Jae Crowder']","['Cameron Johnson', 'Landry Shamet', 'Cameron Payne', 'JaVale McGee', 'Abdel Nader', 'Frank Kaminsky', 'Chandler Hutchison', 'Elfrid Payton', 'Jalen Smith']","['Karl-Anthony Towns', 'Anthony Edwards', ""D'Angelo Russell"", 'Patrick Beverley', 'Jarred Vanderbilt']","['Jaden McDaniels', 'Malik Beasley', 'Josh Okogie', 'Nathan Knight', 'Jake Layman', 'Jordan McLaughlin', 'Jaylen Nowell', 'Taurean Prince']"
1733,14,20211117,DAL,W,105,98,11,3,10,PHO,2022,False,95.8,0.511,7.5,16.3,0.108,109.6,95.8,0.505,9.6,16.3,0.066,102.3,"['Chris Paul', 'Mikal Bridges', 'Deandre Ayton', 'Devin Booker', 'Jae Crowder']","['Cameron Johnson', 'Landry Shamet', 'Cameron Payne', 'JaVale McGee', 'Abdel Nader', 'Elfrid Payton', 'Jalen Smith', 'Ish Wainright']","['Tim Hardaway Jr.', 'Jalen Brunson', 'Dorian Finney-Smith', 'Kristaps Porziņģis', 'Dwight Powell']","['Reggie Bullock', 'Frank Ntilikina', 'Trey Burke', 'Sterling Brown', 'Willie Cauley-Stein', 'Moses Brown', 'Josh Green', 'Boban Marjanović']"
1734,15,20211119,DAL,W,112,104,12,3,11,PHO,2022,False,98.1,0.6,16.5,25.0,0.118,114.2,98.1,0.478,9.1,18.9,0.2,106.1,"['Mikal Bridges', 'Chris Paul', 'Devin Booker', 'Deandre Ayton', 'Jae Crowder']","['Cameron Johnson', 'Landry Shamet', 'JaVale McGee', 'Cameron Payne', 'Abdel Nader', 'Chandler Hutchison', 'Jalen Smith', 'Ish Wainright', 'Elfrid Payton']","['Tim Hardaway Jr.', 'Jalen Brunson', 'Dorian Finney-Smith', 'Kristaps Porziņģis', 'Dwight Powell']","['Reggie Bullock', 'Frank Ntilikina', 'Sterling Brown', 'Trey Burke', 'Willie Cauley-Stein', 'Josh Green', 'Moses Brown', 'Boban Marjanović']"
1735,16,20211121,DEN,W,126,97,13,3,12,PHO,2022,False,98.4,0.592,11.7,25.0,0.264,128.0,98.4,0.428,8.9,22.6,0.222,98.6,"['Mikal Bridges', 'Devin Booker', 'Deandre Ayton', 'Chris Paul', 'Jae Crowder']","['Landry Shamet', 'Cameron Johnson', 'Cameron Payne', 'JaVale McGee', 'Elfrid Payton', 'Jalen Smith', 'Ish Wainright', 'Chandler Hutchison', 'Abdel Nader']","['Jeff Green', 'Aaron Gordon', 'Will Barton', 'JaMychal Green', 'Monte Morris']","['Austin Rivers', 'Facundo Campazzo', 'PJ Dozier', 'Markus Howard', 'Bol Bol', 'Petr Cornelie', 'Bones Hyland', 'Nikola Jokić']"
