G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Team,Year
1,Wed Oct 25 2023,7:00p,,Box Score,@,Charlotte Hornets,L,,110,116,0,1,L 1,16129.0,2:22,,ATL,2024
2,Fri Oct 27 2023,7:30p,,Box Score,,New York Knicks,L,,120,126,0,2,L 2,17692.0,2:11,,ATL,2024
3,Sun Oct 29 2023,7:00p,,Box Score,@,Milwaukee Bucks,W,,127,110,1,2,W 1,17341.0,2:15,,ATL,2024
4,Mon Oct 30 2023,7:30p,,Box Score,,Minnesota Timberwolves,W,,127,113,2,2,W 2,15504.0,2:05,,ATL,2024
5,Wed Nov 1 2023,7:30p,,Box Score,,Washington Wizards,W,,130,121,3,2,W 3,15925.0,2:11,,ATL,2024
6,Sat Nov 4 2023,7:00p,,Box Score,@,New Orleans Pelicans,W,,123,105,4,2,W 4,17237.0,2:06,,ATL,2024
7,Mon Nov 6 2023,8:00p,,Box Score,@,Oklahoma City Thunder,L,,117,126,4,3,L 1,16486.0,2:17,,ATL,2024
8,Thu Nov 9 2023,9:30p,,Box Score,@,Orlando Magic,W,,120,119,5,3,W 1,19986.0,2:31,at Mexico City Mexico,ATL,2024
9,Sat Nov 11 2023,7:30p,,Box Score,,Miami Heat,L,,109,117,5,4,L 1,17722.0,2:13,,ATL,2024
10,Tue Nov 14 2023,7:00p,,Box Score,@,Detroit Pistons,W,,126,120,6,4,W 1,16963.0,2:13,In-Season Tournament,ATL,2024
11,Wed Nov 15 2023,7:30p,,Box Score,,New York Knicks,L,,114,116,6,5,L 1,17060.0,2:17,,ATL,2024
12,Fri Nov 17 2023,7:30p,,Box Score,,Philadelphia 76ers,L,,116,126,6,6,L 2,17067.0,2:19,In-Season Tournament,ATL,2024
13,Tue Nov 21 2023,7:30p,,Box Score,,Indiana Pacers,L,,152,157,6,7,L 3,17162.0,2:18,In-Season Tournament,ATL,2024
14,Wed Nov 22 2023,7:30p,,Box Score,,Brooklyn Nets,W,OT,147,145,7,7,W 1,17340.0,2:37,,ATL,2024
15,Sat Nov 25 2023,7:00p,,Box Score,@,Washington Wizards,W,,136,108,8,7,W 2,16276.0,2:02,,ATL,2024
16,Sun Nov 26 2023,6:00p,,Box Score,@,Boston Celtics,L,,103,113,8,8,L 1,19156.0,2:08,,ATL,2024
17,Tue Nov 28 2023,7:30p,,Box Score,@,Cleveland Cavaliers,L,,105,128,8,9,L 2,19432.0,2:10,In-Season Tournament,ATL,2024
18,Thu Nov 30 2023,8:00p,,Box Score,@,San Antonio Spurs,W,,137,135,9,9,W 1,17646.0,2:17,,ATL,2024
19,Sat Dec 2 2023,8:00p,,Box Score,@,Milwaukee Bucks,L,,121,132,9,10,L 1,17866.0,2:04,,ATL,2024
20,Wed Dec 6 2023,7:30p,,Box Score,,Brooklyn Nets,L,,113,114,9,11,L 2,15906.0,2:21,,ATL,2024
21,Fri Dec 8 2023,7:00p,,Box Score,@,Philadelphia 76ers,L,,114,125,9,12,L 3,19746.0,2:13,,ATL,2024
22,Mon Dec 11 2023,7:30p,,Box Score,,Denver Nuggets,L,,122,129,9,13,L 4,17531.0,2:26,,ATL,2024
23,Wed Dec 13 2023,7:30p,,Box Score,@,Toronto Raptors,L,,128,135,9,14,L 5,19423.0,2:18,,ATL,2024
24,Fri Dec 15 2023,7:30p,,Box Score,@,Toronto Raptors,W,,125,104,10,14,W 1,19800.0,2:04,,ATL,2024
25,Sat Dec 16 2023,7:30p,,Box Score,@,Cleveland Cavaliers,L,,119,127,10,15,L 1,19432.0,2:09,,ATL,2024
26,Mon Dec 18 2023,7:30p,,Box Score,,Detroit Pistons,W,,130,124,11,15,W 1,17664.0,2:25,,ATL,2024
27,Wed Dec 20 2023,8:00p,,Box Score,@,Houston Rockets,W,,134,127,12,15,W 2,18055.0,2:17,,ATL,2024
28,Fri Dec 22 2023,8:00p,,Box Score,@,Miami Heat,L,,113,122,12,16,L 1,20029.0,2:19,,ATL,2024
29,Sat Dec 23 2023,7:30p,,Box Score,,Memphis Grizzlies,L,,119,125,12,17,L 2,17632.0,2:18,,ATL,2024
30,Tue Dec 26 2023,8:00p,,Box Score,@,Chicago Bulls,L,,113,118,12,18,L 3,21420.0,2:18,,ATL,2024
31,Fri Dec 29 2023,7:30p,,Box Score,,Sacramento Kings,L,,110,117,12,19,L 4,18305.0,2:08,,ATL,2024
32,Sun Dec 31 2023,3:00p,,Box Score,@,Washington Wizards,W,,130,126,13,19,W 1,17042.0,2:18,,ATL,2024
33,Wed Jan 3 2024,7:30p,,Box Score,,Oklahoma City Thunder,W,,141,138,14,19,W 2,17770.0,2:27,,ATL,2024
34,Fri Jan 5 2024,7:00p,,Box Score,@,Indiana Pacers,L,,116,150,14,20,L 1,17274.0,2:03,,ATL,2024
35,Sun Jan 7 2024,6:00p,,Box Score,@,Orlando Magic,L,OT,110,117,14,21,L 2,19349.0,2:35,,ATL,2024
36,Wed Jan 10 2024,7:30p,,Box Score,,Philadelphia 76ers,W,OT,139,132,15,21,W 1,16089.0,2:37,,ATL,2024
37,Fri Jan 12 2024,7:30p,,Box Score,,Indiana Pacers,L,,108,126,15,22,L 1,15596.0,2:06,,ATL,2024
38,Sat Jan 13 2024,7:30p,,Box Score,,Washington Wizards,L,,99,127,15,23,L 2,17108.0,2:14,,ATL,2024
39,Mon Jan 15 2024,3:30p,,Box Score,,San Antonio Spurs,W,,109,99,16,23,W 1,17447.0,2:17,,ATL,2024
40,Wed Jan 17 2024,7:30p,,Box Score,,Orlando Magic,W,,106,104,17,23,W 2,14541.0,2:14,,ATL,2024
41,Fri Jan 19 2024,8:00p,,Box Score,@,Miami Heat,W,,109,108,18,23,W 3,20040.0,2:34,,ATL,2024
42,Sat Jan 20 2024,7:30p,,Box Score,,Cleveland Cavaliers,L,,95,116,18,24,L 1,17047.0,2:04,,ATL,2024
43,Mon Jan 22 2024,10:00p,,Box Score,@,Sacramento Kings,L,,107,122,18,25,L 2,17832.0,2:13,,ATL,2024
44,Wed Jan 24 2024,10:00p,,Box Score,@,Golden State Warriors,L,,112,134,18,26,L 3,18064.0,2:08,,ATL,2024
45,Fri Jan 26 2024,7:00p,,Box Score,,Dallas Mavericks,L,,143,148,18,27,L 4,16149.0,2:24,,ATL,2024
46,Sun Jan 28 2024,6:00p,,Box Score,,Toronto Raptors,W,,126,125,19,27,W 1,15658.0,2:20,,ATL,2024
47,Tue Jan 30 2024,7:30p,,Box Score,,Los Angeles Lakers,W,,138,122,20,27,W 2,17871.0,2:06,,ATL,2024
48,Fri Feb 2 2024,7:30p,,Box Score,,Phoenix Suns,W,,129,120,21,27,W 3,16536.0,2:10,,ATL,2024
49,Sat Feb 3 2024,7:30p,,Box Score,,Golden State Warriors,W,OT,141,134,22,27,W 4,17600.0,2:31,,ATL,2024
50,Mon Feb 5 2024,7:30p,,Box Score,,Los Angeles Clippers,L,,144,149,22,28,L 1,17093.0,2:21,,ATL,2024
51,Wed Feb 7 2024,7:30p,,Box Score,@,Boston Celtics,L,,117,125,22,29,L 2,19156.0,1:58,,ATL,2024
52,Fri Feb 9 2024,7:00p,,Box Score,@,Philadelphia 76ers,W,,127,121,23,29,W 1,19758.0,2:24,,ATL,2024
53,Sat Feb 10 2024,7:30p,,Box Score,,Houston Rockets,W,,122,113,24,29,W 2,17503.0,2:19,,ATL,2024
54,Mon Feb 12 2024,7:30p,,Box Score,,Chicago Bulls,L,,126,136,24,30,L 1,16524.0,2:15,,ATL,2024
55,Wed Feb 14 2024,7:00p,,Box Score,@,Charlotte Hornets,L,,99,122,24,31,L 2,14336.0,2:06,,ATL,2024
56,Fri Feb 23 2024,7:30p,,Box Score,,Toronto Raptors,L,,121,123,24,32,L 3,17625.0,2:09,,ATL,2024
57,Sun Feb 25 2024,7:00p,,Box Score,,Orlando Magic,W,,109,92,25,32,W 1,17173.0,2:06,,ATL,2024
58,Tue Feb 27 2024,7:30p,,Box Score,,Utah Jazz,W,,124,97,26,32,W 2,17129.0,2:05,,ATL,2024
59,Thu Feb 29 2024,7:30p,,Box Score,@,Brooklyn Nets,L,,97,124,26,33,L 1,17284.0,2:05,,ATL,2024
60,Sat Mar 2 2024,3:00p,,Box Score,@,Brooklyn Nets,L,,102,114,26,34,L 2,18075.0,2:18,,ATL,2024
61,Tue Mar 5 2024,7:30p,,Box Score,@,New York Knicks,W,,116,100,27,34,W 1,19812.0,2:07,,ATL,2024
62,Wed Mar 6 2024,7:30p,,Box Score,,Cleveland Cavaliers,W,,112,101,28,34,W 2,15841.0,2:03,,ATL,2024
63,Fri Mar 8 2024,8:00p,,Box Score,@,Memphis Grizzlies,W,,99,92,29,34,W 3,16667.0,2:12,,ATL,2024
64,Sun Mar 10 2024,6:00p,,Box Score,,New Orleans Pelicans,L,,103,116,29,35,L 1,17695.0,2:02,,ATL,2024
65,Wed Mar 13 2024,10:00p,,Box Score,@,Portland Trail Blazers,L,,102,106,29,36,L 2,18064.0,2:11,,ATL,2024
66,Fri Mar 15 2024,9:30p,,Box Score,@,Utah Jazz,L,,122,124,29,37,L 3,18206.0,2:12,,ATL,2024
67,Sun Mar 17 2024,9:30p,,Box Score,@,Los Angeles Clippers,W,,110,93,30,37,W 1,19370.0,2:08,,ATL,2024
68,Mon Mar 18 2024,10:30p,,Box Score,@,Los Angeles Lakers,L,,105,136,30,38,L 1,18997.0,1:57,,ATL,2024
69,Thu Mar 21 2024,10:30p,,Box Score,@,Phoenix Suns,L,,115,128,30,39,L 2,17071.0,2:21,,ATL,2024
70,Sat Mar 23 2024,7:30p,,Box Score,,Charlotte Hornets,W,,132,91,31,39,W 1,17900.0,1:59,,ATL,2024
71,Mon Mar 25 2024,7:30p,,Box Score,,Boston Celtics,W,,120,118,32,39,W 2,17405.0,2:11,,ATL,2024
72,Wed Mar 27 2024,7:30p,,Box Score,,Portland Trail Blazers,W,,120,106,33,39,W 3,16059.0,2:07,,ATL,2024
73,Thu Mar 28 2024,7:30p,,Box Score,,Boston Celtics,W,OT,123,122,34,39,W 4,17743.0,2:24,,ATL,2024
74,Sat Mar 30 2024,7:30p,,Box Score,,Milwaukee Bucks,L,,113,122,34,40,L 1,17700.0,2:26,,ATL,2024
75,Mon Apr 1 2024,8:00p,,Box Score,@,Chicago Bulls,W,,113,101,35,40,W 1,21114.0,2:07,,ATL,2024
76,Wed Apr 3 2024,7:30p,,Box Score,,Detroit Pistons,W,,121,113,36,40,W 2,17899.0,2:07,,ATL,2024
77,Thu Apr 4 2024,7:30p,,Box Score,@,Dallas Mavericks,L,,95,109,36,41,L 1,20211.0,2:09,,ATL,2024
78,Sat Apr 6 2024,9:00p,,Box Score,@,Denver Nuggets,L,,110,142,36,42,L 2,19639.0,2:10,,ATL,2024
79,Tue Apr 9 2024,7:30p,,Box Score,,Miami Heat,L,2OT,111,117,36,43,L 3,17049.0,2:35,,ATL,2024
80,Wed Apr 10 2024,7:30p,,Box Score,,Charlotte Hornets,L,,114,115,36,44,L 4,16158.0,2:09,,ATL,2024
81,Fri Apr 12 2024,8:00p,,Box Score,@,Minnesota Timberwolves,L,,106,109,36,45,L 5,18024.0,2:22,,ATL,2024
82,Sun Apr 14 2024,1:00p,,Box Score,@,Indiana Pacers,L,,115,157,36,46,L 6,17274.0,2:04,,ATL,2024
83,Wed Apr 17 2024,9:30p,,Box Score,@,Chicago Bulls,L,,116,131,36,47,L 7,21627.0,2:16,Play-In Game,ATL,2024
1,Wed Oct 19 2022,7:30p,,Box Score,,Houston Rockets,W,,117,107,1,0,W 1,17878.0,2:05,,ATL,2023
2,Fri Oct 21 2022,7:30p,,Box Score,,Orlando Magic,W,,108,98,2,0,W 2,17822.0,2:12,,ATL,2023
3,Sun Oct 23 2022,5:00p,,Box Score,,Charlotte Hornets,L,,109,126,2,1,L 1,17383.0,2:20,,ATL,2023
4,Wed Oct 26 2022,7:00p,,Box Score,@,Detroit Pistons,W,,118,113,3,1,W 1,17987.0,2:19,,ATL,2023
5,Fri Oct 28 2022,7:00p,,Box Score,@,Detroit Pistons,W,,136,112,4,1,W 2,18923.0,2:11,,ATL,2023
6,Sat Oct 29 2022,8:00p,,Box Score,@,Milwaukee Bucks,L,,115,123,4,2,L 1,17341.0,2:15,,ATL,2023
7,Mon Oct 31 2022,7:30p,,Box Score,@,Toronto Raptors,L,,109,139,4,3,L 2,19800.0,2:13,,ATL,2023
8,Wed Nov 2 2022,7:30p,,Box Score,@,New York Knicks,W,,112,99,5,3,W 1,19812.0,2:11,,ATL,2023
9,Sat Nov 5 2022,7:30p,,Box Score,,New Orleans Pelicans,W,OT,124,121,6,3,W 2,17654.0,2:32,,ATL,2023
10,Mon Nov 7 2022,8:15p,,Box Score,,Milwaukee Bucks,W,,117,98,7,3,W 3,17494.0,2:11,,ATL,2023
11,Wed Nov 9 2022,7:30p,,Box Score,,Utah Jazz,L,,119,125,7,4,L 1,15845.0,2:02,,ATL,2023
12,Thu Nov 10 2022,7:30p,,Box Score,,Philadelphia 76ers,W,,104,95,8,4,W 1,16066.0,2:19,,ATL,2023
13,Sat Nov 12 2022,7:30p,,Box Score,@,Philadelphia 76ers,L,,109,121,8,5,L 1,20245.0,2:26,,ATL,2023
14,Mon Nov 14 2022,8:00p,,Box Score,@,Milwaukee Bucks,W,,121,106,9,5,W 1,17341.0,2:21,,ATL,2023
15,Wed Nov 16 2022,7:30p,,Box Score,,Boston Celtics,L,,101,126,9,6,L 1,18165.0,2:03,,ATL,2023
16,Sat Nov 19 2022,6:00p,,Box Score,,Toronto Raptors,W,OT,124,122,10,6,W 1,18051.0,2:40,,ATL,2023
17,Mon Nov 21 2022,7:00p,,Box Score,@,Cleveland Cavaliers,L,,102,114,10,7,L 1,19432.0,2:16,,ATL,2023
18,Wed Nov 23 2022,7:30p,,Box Score,,Sacramento Kings,W,,115,106,11,7,W 1,18173.0,2:10,,ATL,2023
19,Fri Nov 25 2022,8:00p,,Box Score,@,Houston Rockets,L,,122,128,11,8,L 1,16669.0,2:29,,ATL,2023
20,Sun Nov 27 2022,5:00p,,Box Score,,Miami Heat,L,,98,106,11,9,L 2,17268.0,2:06,,ATL,2023
21,Mon Nov 28 2022,7:00p,,Box Score,@,Philadelphia 76ers,L,,101,104,11,10,L 3,19778.0,2:18,,ATL,2023
22,Wed Nov 30 2022,7:00p,,Box Score,@,Orlando Magic,W,,125,108,12,10,W 1,15344.0,2:08,,ATL,2023
23,Fri Dec 2 2022,7:30p,,Box Score,,Denver Nuggets,W,,117,109,13,10,W 2,16974.0,2:06,,ATL,2023
24,Mon Dec 5 2022,7:30p,,Box Score,,Oklahoma City Thunder,L,,114,121,13,11,L 1,16301.0,2:13,,ATL,2023
25,Wed Dec 7 2022,7:30p,,Box Score,@,New York Knicks,L,,89,113,13,12,L 2,18091.0,2:20,,ATL,2023
26,Fri Dec 9 2022,7:30p,,Box Score,@,Brooklyn Nets,L,,116,120,13,13,L 3,18072.0,2:15,,ATL,2023
27,Sun Dec 11 2022,6:30p,,Box Score,,Chicago Bulls,W,OT,123,122,14,13,W 1,17227.0,2:39,,ATL,2023
28,Mon Dec 12 2022,8:00p,,Box Score,@,Memphis Grizzlies,L,,103,128,14,14,L 1,16544.0,2:05,,ATL,2023
29,Wed Dec 14 2022,7:00p,,Box Score,@,Orlando Magic,L,,124,135,14,15,L 2,16002.0,2:17,,ATL,2023
30,Fri Dec 16 2022,7:00p,,Box Score,@,Charlotte Hornets,W,,125,106,15,15,W 1,17772.0,2:13,,ATL,2023
31,Mon Dec 19 2022,7:30p,,Box Score,,Orlando Magic,W,,126,125,16,15,W 2,17809.0,2:19,,ATL,2023
32,Wed Dec 21 2022,7:30p,,Box Score,,Chicago Bulls,L,,108,110,16,16,L 1,17226.0,2:13,,ATL,2023
33,Fri Dec 23 2022,7:30p,,Box Score,,Detroit Pistons,W,,130,105,17,16,W 1,17028.0,2:08,,ATL,2023
34,Tue Dec 27 2022,7:30p,,Box Score,@,Indiana Pacers,L,,114,129,17,17,L 1,16738.0,2:14,,ATL,2023
35,Wed Dec 28 2022,7:30p,,Box Score,,Brooklyn Nets,L,,107,108,17,18,L 2,18030.0,2:05,,ATL,2023
36,Fri Dec 30 2022,7:30p,,Box Score,,Los Angeles Lakers,L,,121,130,17,19,L 3,17984.0,2:10,,ATL,2023
37,Mon Jan 2 2023,10:00p,,Box Score,@,Golden State Warriors,L,2OT,141,143,17,20,L 4,18064.0,2:45,,ATL,2023
38,Wed Jan 4 2023,10:00p,,Box Score,@,Sacramento Kings,W,,120,117,18,20,W 1,17611.0,2:15,,ATL,2023
39,Fri Jan 6 2023,10:30p,,Box Score,@,Los Angeles Lakers,L,,114,130,18,21,L 1,18997.0,2:01,,ATL,2023
40,Sun Jan 8 2023,9:00p,,Box Score,@,Los Angeles Clippers,W,,112,108,19,21,W 1,19068.0,2:12,,ATL,2023
41,Wed Jan 11 2023,7:30p,,Box Score,,Milwaukee Bucks,L,,105,114,19,22,L 1,17154.0,2:13,,ATL,2023
42,Fri Jan 13 2023,7:00p,,Box Score,@,Indiana Pacers,W,,113,111,20,22,W 1,16071.0,2:22,,ATL,2023
43,Sat Jan 14 2023,7:30p,,Box Score,@,Toronto Raptors,W,,114,103,21,22,W 2,19800.0,2:10,,ATL,2023
44,Mon Jan 16 2023,3:30p,,Box Score,,Miami Heat,W,,121,113,22,22,W 3,18007.0,2:23,,ATL,2023
45,Wed Jan 18 2023,7:30p,,Box Score,@,Dallas Mavericks,W,,130,122,23,22,W 4,20125.0,2:19,,ATL,2023
46,Fri Jan 20 2023,7:30p,,Box Score,,New York Knicks,W,,139,124,24,22,W 5,17711.0,2:03,,ATL,2023
47,Sat Jan 21 2023,7:30p,,Box Score,,Charlotte Hornets,L,,118,122,24,23,L 1,17928.0,2:18,,ATL,2023
48,Mon Jan 23 2023,8:00p,,Box Score,@,Chicago Bulls,L,,100,111,24,24,L 2,20938.0,2:05,,ATL,2023
49,Wed Jan 25 2023,8:00p,,Box Score,@,Oklahoma City Thunder,W,,137,132,25,24,W 1,15079.0,2:08,,ATL,2023
50,Sat Jan 28 2023,7:30p,,Box Score,,Los Angeles Clippers,L,,113,120,25,25,L 1,18448.0,2:11,,ATL,2023
51,Mon Jan 30 2023,10:00p,,Box Score,@,Portland Trail Blazers,L,,125,129,25,26,L 2,18262.0,2:18,,ATL,2023
52,Wed Feb 1 2023,10:00p,,Box Score,@,Phoenix Suns,W,,132,100,26,26,W 1,17071.0,2:11,,ATL,2023
53,Fri Feb 3 2023,9:00p,,Box Score,@,Utah Jazz,W,,115,108,27,26,W 2,18206.0,2:09,,ATL,2023
54,Sat Feb 4 2023,9:00p,,Box Score,@,Denver Nuggets,L,,108,128,27,27,L 1,19630.0,2:03,,ATL,2023
55,Tue Feb 7 2023,7:30p,,Box Score,@,New Orleans Pelicans,L,,107,116,27,28,L 2,16669.0,2:13,,ATL,2023
56,Thu Feb 9 2023,7:30p,,Box Score,,Phoenix Suns,W,,116,107,28,28,W 1,17003.0,2:14,,ATL,2023
57,Sat Feb 11 2023,7:30p,,Box Score,,San Antonio Spurs,W,,125,106,29,28,W 2,17875.0,2:04,,ATL,2023
58,Mon Feb 13 2023,7:00p,,Box Score,@,Charlotte Hornets,L,,138,144,29,29,L 1,14078.0,2:16,,ATL,2023
59,Wed Feb 15 2023,7:30p,,Box Score,,New York Knicks,L,,101,122,29,30,L 2,17771.0,2:09,,ATL,2023
60,Fri Feb 24 2023,7:30p,,Box Score,,Cleveland Cavaliers,W,,136,119,30,30,W 1,18065.0,2:15,,ATL,2023
61,Sun Feb 26 2023,3:00p,,Box Score,,Brooklyn Nets,W,,129,127,31,30,W 2,16983.0,2:20,,ATL,2023
62,Tue Feb 28 2023,7:30p,,Box Score,,Washington Wizards,L,,116,119,31,31,L 1,17395.0,2:12,,ATL,2023
63,Fri Mar 3 2023,7:30p,,Box Score,,Portland Trail Blazers,W,,129,111,32,31,W 1,17521.0,2:06,,ATL,2023
64,Sat Mar 4 2023,8:00p,,Box Score,@,Miami Heat,L,,109,117,32,32,L 1,19600.0,2:11,,ATL,2023
65,Mon Mar 6 2023,7:30p,,Box Score,@,Miami Heat,L,,128,130,32,33,L 2,19600.0,2:20,,ATL,2023
66,Wed Mar 8 2023,7:00p,,Box Score,@,Washington Wizards,W,,122,120,33,33,W 1,15087.0,2:14,,ATL,2023
67,Fri Mar 10 2023,7:00p,,Box Score,@,Washington Wizards,W,,114,107,34,33,W 2,18161.0,2:23,,ATL,2023
68,Sat Mar 11 2023,7:30p,,Box Score,,Boston Celtics,L,,125,134,34,34,L 1,17884.0,2:12,,ATL,2023
69,Mon Mar 13 2023,7:30p,,Box Score,,Minnesota Timberwolves,L,,115,136,34,35,L 2,17799.0,2:09,,ATL,2023
70,Fri Mar 17 2023,7:30p,,Box Score,,Golden State Warriors,W,,127,119,35,35,W 1,18201.0,2:10,,ATL,2023
71,Sun Mar 19 2023,4:00p,,Box Score,@,San Antonio Spurs,L,,118,126,35,36,L 1,16311.0,2:07,,ATL,2023
72,Tue Mar 21 2023,7:30p,,Box Score,,Detroit Pistons,W,,129,107,36,36,W 1,17129.0,2:13,,ATL,2023
73,Wed Mar 22 2023,8:00p,,Box Score,@,Minnesota Timberwolves,L,,124,125,36,37,L 1,17136.0,2:19,,ATL,2023
74,Sat Mar 25 2023,5:00p,,Box Score,,Indiana Pacers,W,,143,130,37,37,W 1,17699.0,2:07,,ATL,2023
75,Sun Mar 26 2023,6:00p,,Box Score,,Memphis Grizzlies,L,,119,123,37,38,L 1,18056.0,2:15,,ATL,2023
76,Tue Mar 28 2023,7:30p,,Box Score,,Cleveland Cavaliers,W,,120,118,38,38,W 1,17748.0,2:22,,ATL,2023
77,Fri Mar 31 2023,7:30p,,Box Score,@,Brooklyn Nets,L,,107,124,38,39,L 1,17849.0,2:06,,ATL,2023
78,Sun Apr 2 2023,6:00p,,Box Score,,Dallas Mavericks,W,OT,132,130,39,39,W 1,17678.0,2:40,,ATL,2023
79,Tue Apr 4 2023,8:00p,,Box Score,@,Chicago Bulls,W,,123,105,40,39,W 2,21717.0,2:08,,ATL,2023
80,Wed Apr 5 2023,7:30p,,Box Score,,Washington Wizards,W,,134,116,41,39,W 3,17727.0,2:11,,ATL,2023
81,Fri Apr 7 2023,7:30p,,Box Score,,Philadelphia 76ers,L,OT,131,136,41,40,L 1,17627.0,2:34,,ATL,2023
82,Sun Apr 9 2023,1:00p,,Box Score,@,Boston Celtics,L,,114,120,41,41,L 2,19156.0,1:59,,ATL,2023
83,Tue Apr 11 2023,7:30p,,Box Score,@,Miami Heat,W,,116,105,42,41,W 1,19662.0,2:21,Play-In Game,ATL,2023
1,Thu Oct 21 2021,7:30p,,Box Score,,Dallas Mavericks,W,,113,87,1,0,W 1,17162.0,2:08,,ATL,2022
2,Sat Oct 23 2021,6:00p,,Box Score,@,Cleveland Cavaliers,L,,95,101,1,1,L 1,16846.0,2:14,,ATL,2022
3,Mon Oct 25 2021,7:30p,,Box Score,,Detroit Pistons,W,,122,104,2,1,W 1,14209.0,2:04,,ATL,2022
4,Wed Oct 27 2021,7:30p,,Box Score,@,New Orleans Pelicans,W,,102,99,3,1,W 2,15541.0,2:16,,ATL,2022
5,Thu Oct 28 2021,7:00p,,Box Score,@,Washington Wizards,L,,111,122,3,2,L 1,13653.0,2:16,,ATL,2022
6,Sat Oct 30 2021,7:30p,,Box Score,@,Philadelphia 76ers,L,,94,122,3,3,L 2,20031.0,2:10,,ATL,2022
7,Mon Nov 1 2021,7:30p,,Box Score,,Washington Wizards,W,,118,111,4,3,W 1,14632.0,2:12,,ATL,2022
8,Wed Nov 3 2021,7:30p,,Box Score,@,Brooklyn Nets,L,,108,117,4,4,L 1,17323.0,2:05,,ATL,2022
9,Thu Nov 4 2021,7:30p,,Box Score,,Utah Jazz,L,,98,116,4,5,L 2,16590.0,2:12,,ATL,2022
10,Sat Nov 6 2021,10:00p,,Box Score,@,Phoenix Suns,L,,117,121,4,6,L 3,15412.0,2:11,,ATL,2022
11,Mon Nov 8 2021,10:00p,,Box Score,@,Golden State Warriors,L,,113,127,4,7,L 4,18064.0,2:17,,ATL,2022
12,Tue Nov 9 2021,9:00p,,Box Score,@,Utah Jazz,L,,98,110,4,8,L 5,18306.0,2:06,,ATL,2022
13,Fri Nov 12 2021,9:00p,,Box Score,@,Denver Nuggets,L,,96,105,4,9,L 6,16849.0,2:07,,ATL,2022
14,Sun Nov 14 2021,6:00p,,Box Score,,Milwaukee Bucks,W,,120,100,5,9,W 1,16901.0,2:04,,ATL,2022
15,Mon Nov 15 2021,7:30p,,Box Score,,Orlando Magic,W,,129,111,6,9,W 2,13061.0,2:11,,ATL,2022
16,Wed Nov 17 2021,7:30p,,Box Score,,Boston Celtics,W,,110,99,7,9,W 3,16445.0,2:02,,ATL,2022
17,Sat Nov 20 2021,7:30p,,Box Score,,Charlotte Hornets,W,,115,105,8,9,W 4,17320.0,2:08,,ATL,2022
18,Mon Nov 22 2021,7:30p,,Box Score,,Oklahoma City Thunder,W,,113,101,9,9,W 5,15806.0,1:58,,ATL,2022
19,Wed Nov 24 2021,8:30p,,Box Score,@,San Antonio Spurs,W,,124,106,10,9,W 6,13161.0,1:57,,ATL,2022
20,Fri Nov 26 2021,8:00p,,Box Score,@,Memphis Grizzlies,W,,132,100,11,9,W 7,16622.0,2:03,,ATL,2022
21,Sat Nov 27 2021,7:30p,,Box Score,,New York Knicks,L,,90,99,11,10,L 1,17287.0,2:02,,ATL,2022
22,Wed Dec 1 2021,7:00p,,Box Score,@,Indiana Pacers,W,,114,111,12,10,W 1,12656.0,2:08,,ATL,2022
23,Fri Dec 3 2021,7:30p,,Box Score,,Philadelphia 76ers,L,,96,98,12,11,L 1,17092.0,2:25,,ATL,2022
24,Sun Dec 5 2021,6:00p,,Box Score,,Charlotte Hornets,L,,127,130,12,12,L 2,16383.0,2:06,,ATL,2022
25,Mon Dec 6 2021,8:00p,,Box Score,@,Minnesota Timberwolves,W,,121,110,13,12,W 1,15736.0,2:05,,ATL,2022
26,Fri Dec 10 2021,7:30p,,Box Score,,Brooklyn Nets,L,,105,113,13,13,L 1,17074.0,2:21,,ATL,2022
27,Mon Dec 13 2021,7:30p,,Box Score,,Houston Rockets,L,,126,132,13,14,L 2,14456.0,2:23,,ATL,2022
28,Wed Dec 15 2021,7:00p,,Box Score,@,Orlando Magic,W,,111,99,14,14,W 1,13576.0,2:04,,ATL,2022
29,Fri Dec 17 2021,7:30p,,Box Score,,Denver Nuggets,L,,115,133,14,15,L 1,16114.0,2:14,,ATL,2022
30,Wed Dec 22 2021,7:30p,,Box Score,,Orlando Magic,L,,98,104,14,16,L 2,15299.0,2:14,,ATL,2022
31,Thu Dec 23 2021,7:00p,,Box Score,@,Philadelphia 76ers,W,,98,96,15,16,W 1,20408.0,2:15,,ATL,2022
32,Sat Dec 25 2021,12:00p,,Box Score,@,New York Knicks,L,,87,101,15,17,L 1,19812.0,2:15,,ATL,2022
33,Mon Dec 27 2021,7:30p,,Box Score,,Chicago Bulls,L,,118,130,15,18,L 2,17049.0,2:06,,ATL,2022
34,Wed Dec 29 2021,8:00p,,Box Score,@,Chicago Bulls,L,,117,131,15,19,L 3,21372.0,2:19,,ATL,2022
35,Fri Dec 31 2021,7:30p,,Box Score,@,Cleveland Cavaliers,W,,121,118,16,19,W 1,17745.0,2:16,,ATL,2022
36,Mon Jan 3 2022,10:00p,,Box Score,@,Portland Trail Blazers,L,,131,136,16,20,L 1,15091.0,2:14,,ATL,2022
37,Wed Jan 5 2022,10:00p,,Box Score,@,Sacramento Kings,W,,108,102,17,20,W 1,13104.0,2:16,,ATL,2022
